year,make,model,body_style,image_src
2000,Acura,Integra,"[""Sedan"", ""Hatchback""]",https://media.ed.edmunds-media.com/acura/integra/1996/oem/1996_acura_integra_2dr-hatchback_ls_fq_oem_1_500.jpg
2000,Acura,NSX,"[""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/acura/nsx/2000/oem/2000_acura_nsx_coupe_t_fq_oem_1_500.jpg
2000,Acura,RL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/rl/2000/oem/2000_acura_rl_sedan_35_fq_oem_1_500.jpg
2000,Acura,TL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/tl/2000/oem/2000_acura_tl_sedan_32_fq_oem_2_500.jpg
2000,Audi,A4,"[""Wagon"", ""Sedan""]",https://media.ed.edmunds-media.com/audi/a4/2000/oem/2000_audi_a4_wagon_18t-avant-quattro_s_oem_1_500.jpg
2000,Audi,A6,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/audi/a6/2000/oem/2000_audi_a6_sedan_28-quattro_fq_oem_1_500.jpg
2000,Audi,A8,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/a8/2000/oem/2000_audi_a8_sedan_quattro_fq_oem_1_500.jpg
2000,Audi,S4,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/s4/2000/oem/2000_audi_s4_sedan_quattro_fq_oem_4_500.jpg
2000,Audi,TT,"[""Coupe""]",https://media.ed.edmunds-media.com/audi/tt/2000/oem/2000_audi_tt_coupe_quattro_fq_oem_1_500.jpg
2000,BMW,3 Series,"[""Sedan"", ""Wagon"", ""Convertible"", ""Coupe""]",https://media.ed.edmunds-media.com/bmw/3-series/2000/oem/2000_bmw_3-series_convertible_323ci_fq_oem_2_500.jpg
2000,BMW,5 Series,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/bmw/5-series/2000/oem/2000_bmw_5-series_sedan_528i_fq_oem_1_500.jpg
2000,BMW,7 Series,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/7-series/2000/oem/2000_bmw_7-series_sedan_740i_fq_oem_2_500.jpg
2000,BMW,M,"[""Hatchback"", ""Convertible""]",https://media.ed.edmunds-media.com/bmw/m/2000/oem/2000_bmw_m_2dr-hatchback_base_fq_oem_2_500.jpg
