year,make,model,body_style,image_src
2004,Acura,MDX,"[""SUV""]",https://media.ed.edmunds-media.com/acura/mdx/2004/oem/2004_acura_mdx_4dr-suv_touring_fq_oem_2_500.jpg
2004,Acura,NSX,"[""Coupe""]",https://media.ed.edmunds-media.com/acura/nsx/2002/oem/2002_acura_nsx_coupe_base_s_oem_1_500.jpg
2004,Acura,RL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/rl/2004/oem/2004_acura_rl_sedan_35_fq_oem_1_500.jpg
2004,Acura,RSX,"[""Coupe""]",https://media.ed.edmunds-media.com/acura/rsx/2003/oem/2003_acura_rsx_2dr-hatchback_type-s_fq_oem_1_500.jpg
2004,Acura,TL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/tl/2004/oem/2004_acura_tl_sedan_base_fq_oem_3_500.jpg
2004,Acura,TSX,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/tsx/2004/oem/2004_acura_tsx_sedan_base_s_oem_2_500.jpg
2004,Audi,A4,"[""Convertible"", ""Wagon"", ""Sedan""]",https://media.ed.edmunds-media.com/audi/a4/2004/oem/2004_audi_a4_convertible_30_fq_oem_1_500.jpg
2004,Audi,A6,"[""Wagon"", ""Sedan""]",https://media.ed.edmunds-media.com/audi/a6/2003/oem/2003_audi_a6_sedan_30_fq_oem_1_500.jpg
2004,Audi,A8,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/a8/2004/oem/2004_audi_a8_sedan_l-quattro_fq_oem_1_500.jpg
2004,Audi,allroad,"[""Wagon""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2004,Audi,S4,"[""Wagon"", ""Convertible"", ""Sedan""]",https://media.ed.edmunds-media.com/audi/s4/2004/oem/2004_audi_s4_convertible_quattro_fq_oem_1_500.jpg
2004,Audi,TT,"[""Convertible"", ""Coupe""]",https://media.ed.edmunds-media.com/audi/tt/2004/oem/2004_audi_tt_convertible_225hp-quattro_s_oem_1_500.jpg
2004,BMW,3 Series,"[""Sedan"", ""Coupe"", ""Convertible"", ""Wagon""]",https://media.ed.edmunds-media.com/bmw/3-series/2004/oem/2004_bmw_3-series_coupe_330ci_fq_oem_1_500.jpg
2004,BMW,5 Series,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/5-series/2004/oem/2004_bmw_5-series_sedan_525i_fq_oem_1_500.jpg
2004,BMW,6 Series,"[""Convertible"", ""Coupe""]",https://media.ed.edmunds-media.com/bmw/6-series/2004/oem/2004_bmw_6-series_convertible_645ci_fq_oem_2_500.jpg
2004,BMW,7 Series,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/7-series/2004/oem/2004_bmw_7-series_sedan_745i_fq_oem_1_500.jpg
2004,BMW,M3,"[""Convertible"", ""Coupe""]",https://media.ed.edmunds-media.com/bmw/m3/2001/oem/2001_bmw_m3_convertible_base_s_oem_1_500.jpg
2004,BMW,X3,"[""SUV""]",https://media.ed.edmunds-media.com/bmw/x3/2004/oem/2004_bmw_x3_4dr-suv_30i_fq_oem_3_500.jpg
2004,BMW,X5,"[""SUV""]",https://media.ed.edmunds-media.com/bmw/x5/2004/oem/2004_bmw_x5_4dr-suv_44i_fq_oem_1_500.jpg
