year,make,model,body_style,image_src
1999,Acura,CL,"[""Coupe""]",https://media.ed.edmunds-media.com/acura/cl/1998/oem/1998_acura_cl_coupe_23_fq_oem_1_500.jpg
1999,Acura,Integra,"[""Sedan"", ""Hatchback""]",https://media.ed.edmunds-media.com/acura/integra/1996/oem/1996_acura_integra_2dr-hatchback_ls_fq_oem_1_500.jpg
1999,Acura,NSX,"[""Convertible"", ""Coupe""]",https://media.ed.edmunds-media.com/acura/nsx/1998/oem/1998_acura_nsx_coupe_t_fq_oem_1_500.jpg
1999,Acura,RL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/rl/1999/oem/1999_acura_rl_sedan_35_fq_oem_1_500.jpg
1999,Acura,SLX,"[""SUV""]",https://media.ed.edmunds-media.com/acura/slx/1998/oem/1998_acura_slx_4dr-suv_base_fq_oem_1_500.jpg
1999,Acura,TL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/tl/1999/oem/1999_acura_tl_sedan_32_fq_oem_3_500.jpg
1999,Audi,A4,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/audi/a4/1998/oem/1998_audi_a4_wagon_28-avant-quattro_s_oem_2_500.jpg
1999,Audi,A6,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/audi/a6/1999/oem/1999_audi_a6_wagon_28-avant-quattro_s_oem_1_500.jpg
1999,Audi,A8,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/a8/1997/oem/1997_audi_a8_sedan_quattro_fq_oem_1_500.jpg
1999,BMW,3 Series,"[""Coupe"", ""Hatchback"", ""Convertible"", ""Sedan""]",https://media.ed.edmunds-media.com/bmw/3-series/1999/oem/1999_bmw_3-series_coupe_323is_fq_oem_1_500.jpg
1999,BMW,5 Series,"[""Wagon"", ""Sedan""]",https://media.ed.edmunds-media.com/bmw/5-series/1999/oem/1999_bmw_5-series_sedan_528i_fq_oem_1_500.jpg
1999,BMW,7 Series,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/7-series/1999/oem/1999_bmw_7-series_sedan_740i_fq_oem_1_500.jpg
1999,BMW,M3,"[""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/bmw/m3/1997/oem/1997_bmw_m3_coupe_base_fq_oem_1_500.jpg
1999,BMW,Z3,"[""Convertible"", ""Coupe""]",https://media.ed.edmunds-media.com/bmw/z3/1999/oem/1999_bmw_z3_convertible_28_fq_oem_1_500.jpg
1999,Buick,Century,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/century/1998/oem/1998_buick_century_sedan_custom_fq_oem_2_500.jpg
1999,Buick,LeSabre,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/lesabre/1998/oem/1998_buick_lesabre_sedan_limited_fq_oem_2_500.jpg
1999,Buick,Park Avenue,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/park-avenue/1998/oem/1998_buick_park-avenue_sedan_ultra_fq_oem_2_500.jpg
1999,Buick,Regal,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/regal/1999/oem/1999_buick_regal_sedan_gs_fq_oem_1_500.jpg
1999,Buick,Riviera,"[""Coupe""]",https://media.ed.edmunds-media.com/buick/riviera/1998/oem/1998_buick_riviera_coupe_base_fq_oem_2_500.jpg
1999,Cadillac,Catera,"[""Sedan""]",https://media.ed.edmunds-media.com/cadillac/catera/1999/oem/1999_cadillac_catera_sedan_base_fq_oem_1_500.jpg
1999,Cadillac,DeVille,"[""Sedan""]",https://media.ed.edmunds-media.com/cadillac/deville/1999/oem/1999_cadillac_deville_sedan_concours_s_oem_1_500.jpg
1999,Cadillac,Eldorado,"[""Coupe""]",https://media.ed.edmunds-media.com/cadillac/eldorado/1999/oem/1999_cadillac_eldorado_coupe_touring_fq_oem_2_500.jpg
1999,Cadillac,Escalade,"[""SUV""]",https://media.ed.edmunds-media.com/cadillac/escalade/1999/oem/1999_cadillac_escalade_4dr-suv_base_s_oem_1_500.jpg
1999,Cadillac,Seville,"[""Sedan""]",https://media.ed.edmunds-media.com/cadillac/seville/1999/oem/1999_cadillac_seville_sedan_sls_fq_oem_1_500.jpg
1999,Chevrolet,1500 Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1999,Chevrolet,2500 Crew Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1999,Chevrolet,2500 HD Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1999,Chevrolet,2500 HD Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
