year,make,model,body_style,image_src
1993,Acura,Integra,"[""Hatchback"", ""Sedan""]",https://media.ed.edmunds-media.com/acura/integra/1992/oem/1992_acura_integra_2dr-hatchback_gs-r_s_oem_1_500.jpg
1993,Acura,Legend,"[""Sedan"", ""Coupe""]",https://media.ed.edmunds-media.com/acura/legend/1993/oem/1993_acura_legend_coupe_ls_fq_oem_1_500.jpg
1993,Acura,NSX,"[""Coupe""]",https://media.ed.edmunds-media.com/acura/nsx/1991/oem/1991_acura_nsx_coupe_base_fq_oem_2_500.jpg
1993,Acura,Vigor,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/vigor/1992/oem/1992_acura_vigor_sedan_gs_s_oem_2_500.jpg
1993,Alfa Romeo,164,"[""Sedan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1993,Alfa Romeo,Spider,"[""Convertible""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1993,Audi,100,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/audi/100/1993/oem/1993_audi_100_sedan_cs-quattro_fq_oem_1_500.jpg
1993,Audi,90,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/90/1993/oem/1993_audi_90_sedan_cs-quattro_fq_oem_1_500.jpg
1993,Audi,Quattro,"[""Sedan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1993,Audi,S4,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/s4/1993/oem/1993_audi_s4_sedan_quattro_fq_oem_1_500.jpg
1993,BMW,3 Series,"[""Sedan"", ""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/bmw/3-series/1992/oem/1992_bmw_3-series_sedan_325i_s_oem_1_500.jpg
1993,BMW,5 Series,"[""Wagon"", ""Sedan""]",https://media.ed.edmunds-media.com/bmw/5-series/1993/oem/1993_bmw_5-series_wagon_525i_fq_oem_1_500.jpg
1993,BMW,7 Series,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/7-series/1993/oem/1993_bmw_7-series_sedan_740il_fq_oem_1_500.jpg
1993,BMW,8 Series,"[""Coupe""]",https://media.ed.edmunds-media.com/bmw/8-series/1993/oem/1993_bmw_8-series_coupe_850ci_fq_oem_1_500.jpg
1993,BMW,M5,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/m5/1991/oem/1991_bmw_m5_sedan_base_fq_oem_1_500.jpg
1993,Buick,Century,"[""Sedan"", ""Wagon"", ""Coupe""]",https://media.ed.edmunds-media.com/buick/century/1995/oem/1995_buick_century_wagon_special_fq_oem_1_500.jpg
1993,Buick,LeSabre,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/lesabre/1992/oem/1992_buick_lesabre_sedan_limited_fq_oem_1_500.jpg
1993,Buick,Park Avenue,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/park-avenue/1991/oem/1991_buick_park-avenue_sedan_ultra_fq_oem_1_500.jpg
1993,Buick,Regal,"[""Sedan"", ""Coupe""]",https://media.ed.edmunds-media.com/buick/regal/1992/oem/1992_buick_regal_coupe_gran-sport_fq_oem_1_500.jpg
1993,Buick,Riviera,"[""Coupe""]",https://media.ed.edmunds-media.com/buick/riviera/1992/oem/1992_buick_riviera_coupe_base_fq_oem_1_500.jpg
