year,make,model,body_style,image_src
2009,Acura,MDX,"[""SUV""]",https://media.ed.edmunds-media.com/acura/mdx/2009/oem/2009_acura_mdx_4dr-suv_base_fq_oem_4_500.jpg
2009,Acura,RDX,"[""SUV""]",https://media.ed.edmunds-media.com/acura/rdx/2009/oem/2009_acura_rdx_4dr-suv_base_fq_oem_1_500.jpg
2009,Acura,RL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/rl/2009/oem/2009_acura_rl_sedan_base_fq_oem_1_500.jpg
2009,Acura,TL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/tl/2009/oem/2009_acura_tl_sedan_base_fq_oem_1_500.jpg
2009,Acura,TSX,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/tsx/2009/oem/2009_acura_tsx_sedan_base_fq_oem_1_500.jpg
2009,Aston Martin,DB9,"[""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/astonmartin/db9/2009/oem/2009_astonmartin_db9_convertible_volante_s_oem_1_500.jpg
2009,Aston Martin,DBS,"[""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/aston-martin/dbs/2009/evox/2009_aston-martin_dbs_coupe_base_tds2_evox_20_500.jpg
2009,Aston Martin,Vantage,"[""Convertible"", ""Coupe""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2009,Audi,A3,"[""Wagon""]",https://media.ed.edmunds-media.com/audi/a3/2009/oem/2009_audi_a3_wagon_20t-quattro_fq_oem_1_500.jpg
2009,Audi,A4,"[""Convertible"", ""Wagon"", ""Sedan""]",https://media.ed.edmunds-media.com/audi/a4/2009/oem/2009_audi_a4_wagon_20t-premium-avant-quattro_fq_oem_2_500.jpg
2009,Audi,A5,"[""Coupe""]",https://media.ed.edmunds-media.com/audi/a5/2009/oem/2009_audi_a5_coupe_quattro_s_oem_1_500.jpg
2009,Audi,A6,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/audi/a6/2009/oem/2009_audi_a6_sedan_30t-quattro_fq_oem_1_500.jpg
2009,Audi,A8,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/a8/2009/oem/2009_audi_a8_sedan_l-quattro_fq_oem_1_500.jpg
2009,Audi,Q5,"[""SUV""]",https://media.ed.edmunds-media.com/audi/q5/2009/oem/2009_audi_q5_4dr-suv_32-premium-quattro_fq_oem_1_500.jpg
2009,Audi,Q7,"[""SUV""]",https://media.ed.edmunds-media.com/audi/q7/2009/oem/2009_audi_q7_4dr-suv_tdi-premium-quattro_fq_oem_1_500.jpg
2009,Audi,R8,"[""Coupe""]",https://media.ed.edmunds-media.com/audi/r8/2009/oem/2009_audi_r8_coupe_quattro_fq_oem_2_500.jpg
2009,Audi,S4,"[""Convertible""]",https://static.ed.edmunds-media.com/unversioned/img/e17/no-vehicle-img-transparent.png
2009,Audi,S5,"[""Coupe""]",https://media.ed.edmunds-media.com/audi/s5/2009/oem/2009_audi_s5_coupe_quattro_s_oem_2_500.jpg
2009,Audi,S6,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/s6/2009/oem/2009_audi_s6_sedan_quattro_fq_oem_1_500.jpg
2009,Audi,S8,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/s8/2009/oem/2009_audi_s8_sedan_quattro_fq_oem_3_500.jpg
2009,Audi,TT,"[""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/audi/tt/2009/oem/2009_audi_tt_2dr-hatchback_32-quattro_fq_oem_1_500.jpg
2009,Bentley,Arnage,"[""Sedan""]",https://media.ed.edmunds-media.com/bentley/arnage/2009/oem/2009_bentley_arnage_sedan_final-series_fq_oem_1_500.jpg
2009,Bentley,Azure,"[""Convertible""]",https://media.ed.edmunds-media.com/bentley/azure/2009/oem/2009_bentley_azure_convertible_base_s_oem_1_500.jpg
2009,Bentley,Brooklands,"[""Coupe""]",https://media.ed.edmunds-media.com/bentley/brooklands/2009/oem/2009_bentley_brooklands_coupe_base_fq_oem_1_500.jpg
2009,Bentley,Continental,"[""Coupe"", ""Sedan"", ""Convertible""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2009,BMW,1 Series,"[""Coupe"", ""Convertible""]",https://static.ed.edmunds-media.com/unversioned/img/e17/no-vehicle-img-transparent.png
2009,BMW,3 Series,"[""Sedan"", ""Convertible"", ""Coupe"", ""Wagon""]",https://media.ed.edmunds-media.com/bmw/3-series/2008/oem/2008_bmw_3-series_coupe_335i_fq_oem_1_500.jpg
2009,BMW,5 Series,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/bmw/5-series/2008/oem/2008_bmw_5-series_wagon_535xi_fq_oem_1_500.jpg
2009,BMW,6 Series,"[""Convertible"", ""Coupe""]",https://media.ed.edmunds-media.com/bmw/6-series/2008/oem/2008_bmw_6-series_coupe_650i_fq_oem_2_500.jpg
2009,BMW,7 Series,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/7-series/2009/oem/2009_bmw_7-series_sedan_750li_s_oem_2_500.jpg
2009,BMW,M3,"[""Coupe"", ""Sedan"", ""Convertible""]",https://media.ed.edmunds-media.com/bmw/m3/2009/oem/2009_bmw_m3_sedan_base_s_oem_1_500.jpg
2009,BMW,M5,"[""Sedan""]",https://static.ed.edmunds-media.com/unversioned/img/e17/no-vehicle-img-transparent.png
2009,BMW,M6,"[""Coupe"", ""Convertible""]",https://static.ed.edmunds-media.com/unversioned/img/e17/no-vehicle-img-transparent.png
2009,BMW,X3,"[""SUV""]",https://static.ed.edmunds-media.com/unversioned/img/e17/no-vehicle-img-transparent.png
2009,BMW,X5,"[""SUV""]",https://media.ed.edmunds-media.com/bmw/x5/2008/oem/2008_bmw_x5_4dr-suv_48i_fq_oem_2_500.jpg
2009,BMW,X6,"[""SUV""]",https://media.ed.edmunds-media.com/bmw/x6/2008/oem/2008_bmw_x6_4dr-suv_xdrive35i_fq_oem_1_500.jpg
2009,BMW,Z4,"[""Convertible""]",https://media.ed.edmunds-media.com/bmw/z4/2009/oem/2009_bmw_z4_convertible_sdrive35i_fq_oem_2_500.jpg
2009,Buick,Enclave,"[""SUV""]",https://media.ed.edmunds-media.com/buick/enclave/2009/oem/2009_buick_enclave_4dr-suv_cxl_fq_oem_2_500.jpg
2009,Buick,LaCrosse,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/lacrosse/2009/oem/2009_buick_lacrosse_sedan_cxl_fq_oem_1_500.jpg
2009,Buick,Lucerne,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/lucerne/2009/oem/2009_buick_lucerne_sedan_cxl-special-edition_fq_oem_1_500.jpg
2009,Cadillac,CTS,"[""Sedan""]",https://media.ed.edmunds-media.com/cadillac/cts/2009/oem/2009_cadillac_cts_sedan_base_fq_oem_2_500.jpg
2009,Cadillac,DTS,"[""Sedan""]",https://media.ed.edmunds-media.com/cadillac/dts/2009/oem/2009_cadillac_dts_sedan_luxury-5-passenger_fq_oem_1_500.jpg
2009,Cadillac,Escalade,"[""SUV""]",https://media.ed.edmunds-media.com/cadillac/escalade/2009/oem/2009_cadillac_escalade_4dr-suv_platinum-edition_fq_oem_1_500.jpg
2009,Cadillac,Escalade ESV,"[""SUV""]",https://media.ed.edmunds-media.com/cadillac/escalade-esv/2009/oem/2009_cadillac_escalade-esv_4dr-suv_platinum-edition_fq_oem_1_500.jpg
2009,Cadillac,Escalade EXT,"[""Pickup""]",https://media.ed.edmunds-media.com/cadillac/escalade-ext/2009/oem/2009_cadillac_escalade-ext_crew-cab-pickup_base_fq_oem_1_500.jpg
2009,Cadillac,SRX,"[""SUV""]",https://media.ed.edmunds-media.com/cadillac/srx/2009/oem/2009_cadillac_srx_4dr-suv_v8_fq_oem_2_500.jpg
2009,Cadillac,STS,"[""Sedan""]",https://media.ed.edmunds-media.com/cadillac/sts/2009/oem/2009_cadillac_sts_sedan_v6_fq_oem_1_500.jpg
2009,Cadillac,XLR,"[""Convertible""]",https://media.ed.edmunds-media.com/cadillac/xlr/2009/oem/2009_cadillac_xlr_convertible_platinum_fq_oem_1_500.jpg
2009,Chevrolet,Avalanche,"[""SUV""]",https://media.ed.edmunds-media.com/chevrolet/avalanche/2009/oem/2009_chevrolet_avalanche_crew-cab-pickup_ltz_fq_oem_1_500.jpg
2009,Chevrolet,Aveo,"[""Sedan"", ""Hatchback""]",https://media.ed.edmunds-media.com/chevrolet/aveo/2009/oem/2009_chevrolet_aveo_sedan_2lt_fq_oem_1_500.jpg
2009,Chevrolet,Cobalt,"[""Sedan"", ""Coupe""]",https://media.ed.edmunds-media.com/chevrolet/cobalt/2008/oem/2008_chevrolet_cobalt_coupe_lt_fq_oem_1_500.jpg
2009,Chevrolet,Colorado Crew Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2009,Chevrolet,Colorado Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2009,Chevrolet,Colorado Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2009,Chevrolet,Corvette,"[""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/chevrolet/corvette/2009/oem/2009_chevrolet_corvette_coupe_competition-sport-spec-ed_fq_oem_1_500.jpg
2009,Chevrolet,Equinox,"[""SUV""]",https://media.ed.edmunds-media.com/chevrolet/equinox/2009/oem/2009_chevrolet_equinox_4dr-suv_lt_fq_oem_1_500.jpg
2009,Chevrolet,Express 1500 Cargo,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2009,Chevrolet,Express 1500 Passenger,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2009,Chevrolet,Express 2500 Cargo,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2009,Chevrolet,Express 2500 Passenger,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2009,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
