year,make,model,body_style,image_src
1992,Acura,Integra,"[""Sedan"", ""Hatchback""]",https://media.ed.edmunds-media.com/acura/integra/1992/oem/1992_acura_integra_2dr-hatchback_gs-r_s_oem_1_500.jpg
1992,Acura,Legend,"[""Sedan"", ""Coupe""]",https://media.ed.edmunds-media.com/acura/legend/1993/oem/1993_acura_legend_coupe_ls_fq_oem_1_500.jpg
1992,Acura,NSX,"[""Coupe""]",https://media.ed.edmunds-media.com/acura/nsx/1991/oem/1991_acura_nsx_coupe_base_fq_oem_2_500.jpg
1992,Acura,Vigor,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/vigor/1992/oem/1992_acura_vigor_sedan_gs_s_oem_2_500.jpg
1992,Alfa Romeo,164,"[""Sedan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Alfa Romeo,Spider,"[""Convertible""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Audi,100,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/audi/100/1993/oem/1993_audi_100_sedan_cs_fq_oem_1_500.jpg
1992,Audi,80,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/80/1992/oem/1992_audi_80_sedan_base_fq_oem_2_500.jpg
1992,Audi,Quattro,"[""Sedan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Audi,S4,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/s4/1993/oem/1993_audi_s4_sedan_quattro_fq_oem_1_500.jpg
1992,BMW,3 Series,"[""Coupe"", ""Convertible"", ""Sedan""]",https://media.ed.edmunds-media.com/bmw/3-series/1991/oem/1991_bmw_3-series_convertible_325i_fq_oem_1_500.jpg
1992,BMW,5 Series,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/bmw/5-series/1995/oem/1995_bmw_5-series_wagon_525i_fq_oem_1_500.jpg
1992,BMW,7 Series,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/7-series/1991/oem/1991_bmw_7-series_sedan_735i_fq_oem_1_500.jpg
1992,BMW,8 Series,"[""Coupe""]",https://media.ed.edmunds-media.com/bmw/8-series/1992/oem/1992_bmw_8-series_coupe_850i_fq_oem_1_500.jpg
1992,BMW,M5,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/m5/1991/oem/1991_bmw_m5_sedan_base_fq_oem_1_500.jpg
1992,Buick,Century,"[""Coupe"", ""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/buick/century/1993/oem/1993_buick_century_coupe_custom_fq_oem_1_500.jpg
1992,Buick,LeSabre,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/lesabre/1992/oem/1992_buick_lesabre_sedan_custom_fq_oem_1_500.jpg
1992,Buick,Park Avenue,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/park-avenue/1991/oem/1991_buick_park-avenue_sedan_ultra_fq_oem_1_500.jpg
1992,Buick,Regal,"[""Coupe"", ""Sedan""]",https://media.ed.edmunds-media.com/buick/regal/1992/oem/1992_buick_regal_coupe_gran-sport_fq_oem_1_500.jpg
1992,Buick,Riviera,"[""Coupe""]",https://media.ed.edmunds-media.com/buick/riviera/1992/oem/1992_buick_riviera_coupe_base_fq_oem_1_500.jpg
1992,Buick,Roadmaster,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/buick/roadmaster/1992/oem/1992_buick_roadmaster_sedan_limited_fq_oem_1_500.jpg
1992,Buick,Skylark,"[""Sedan"", ""Coupe""]",https://media.ed.edmunds-media.com/buick/skylark/1994/oem/1994_buick_skylark_sedan_custom_fq_oem_1_500.jpg
1992,Cadillac,Allante,"[""Convertible""]",https://media.ed.edmunds-media.com/cadillac/allante/1991/oem/1991_cadillac_allante_convertible_base_fq_oem_2_500.jpg
1992,Cadillac,Brougham,"[""Sedan""]",https://static.ed.edmunds-media.com/unversioned/img/e17/no-vehicle-img-transparent.png
1992,Cadillac,DeVille,"[""Sedan"", ""Coupe""]",https://media.ed.edmunds-media.com/cadillac/deville/1992/oem/1992_cadillac_deville_sedan_touring_fq_oem_1_500.jpg
1992,Cadillac,Eldorado,"[""Coupe""]",https://media.ed.edmunds-media.com/cadillac/eldorado/1992/oem/1992_cadillac_eldorado_coupe_base_fq_oem_1_500.jpg
1992,Cadillac,Fleetwood,"[""Sedan"", ""Coupe""]",https://media.ed.edmunds-media.com/cadillac/fleetwood/1991/oem/1991_cadillac_fleetwood_sedan_sixty-special_fq_oem_1_500.jpg
1992,Cadillac,Seville,"[""Sedan""]",https://media.ed.edmunds-media.com/cadillac/seville/1992/oem/1992_cadillac_seville_sedan_sts_fq_oem_1_500.jpg
1992,Chevrolet,1500 Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,1500 Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,2500 Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,2500 Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,3500 Crew Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,3500 Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,3500 Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,APV Cargo,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,Astro Cargo,"[""Van/Minivan""]",https://media.ed.edmunds-media.com/chevrolet/astro/1993/oem/1993_chevrolet_astro_passenger-minivan_lt_s_oem_1_500.jpg
1992,Chevrolet,Astro Passenger,"[""Van/Minivan""]",https://media.ed.edmunds-media.com/chevrolet/astro/1993/oem/1993_chevrolet_astro_passenger-minivan_lt_s_oem_1_500.jpg
1992,Chevrolet,Beretta,"[""Coupe""]",https://media.ed.edmunds-media.com/chevrolet/beretta/1993/oem/1993_chevrolet_beretta_coupe_gtz_fq_oem_1_500.jpg
1992,Chevrolet,Blazer,"[""SUV""]",https://static.ed.edmunds-media.com/unversioned/img/e17/no-vehicle-img-transparent.png
1992,Chevrolet,Camaro,"[""Hatchback"", ""Convertible""]",https://media.ed.edmunds-media.com/chevrolet/camaro/1991/oem/1991_chevrolet_camaro_convertible_z28_fq_oem_1_500.jpg
1992,Chevrolet,Caprice,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/chevrolet/caprice/1991/oem/1991_chevrolet_caprice_sedan_classic_fq_oem_1_500.jpg
1992,Chevrolet,Cavalier,"[""Coupe"", ""Sedan"", ""Wagon"", ""Convertible""]",https://static.ed.edmunds-media.com/unversioned/img/e17/no-vehicle-img-transparent.png
1992,Chevrolet,Corsica,"[""Sedan""]",https://media.ed.edmunds-media.com/chevrolet/corsica/1992/oem/1992_chevrolet_corsica_sedan_lt_s_oem_1_500.jpg
1992,Chevrolet,Corvette,"[""Hatchback"", ""Convertible""]",https://media.ed.edmunds-media.com/chevrolet/corvette/1995/oem/1995_chevrolet_corvette_convertible_base_fq_oem_1_500.jpg
1992,Chevrolet,G-Series G10,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,G-Series G20,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,G-Series G30,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,Lumina,"[""Sedan"", ""Coupe""]",https://media.ed.edmunds-media.com/chevrolet/lumina/1990/oem/1990_chevrolet_lumina_coupe_base_s_oem_1_500.jpg
1992,Chevrolet,Lumina APV,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,S10 Blazer,"[""SUV""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,S10 Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,S10 Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,Sportvan G10,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,Sportvan G20,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,Sportvan G30,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,Suburban 1500,"[""SUV""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chevrolet,Suburban 2500,"[""SUV""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chrysler,Fifth Ave,"[""Sedan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Chrysler,Imperial,"[""Sedan""]",https://media.ed.edmunds-media.com/chrysler/new-yorker/1993/oem/1993_chrysler_new-yorker_sedan_salon_fq_oem_1_500.jpg
1992,Chrysler,LeBaron,"[""Sedan"", ""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/chrysler/le-baron/1991/oem/1991_chrysler_le-baron_convertible_gtc_fq_oem_1_500.jpg
1992,Chrysler,New Yorker,"[""Sedan""]",https://media.ed.edmunds-media.com/chrysler/new-yorker/1993/oem/1993_chrysler_new-yorker_sedan_salon_fq_oem_1_500.jpg
1992,Chrysler,Town & Country,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Daihatsu,Charade,"[""Sedan"", ""Hatchback""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Daihatsu,Rocky,"[""SUV""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
1992,Dodge,Caravan Cargo,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
