year,make,model,body_styles,trim_data,image_sources
2005,Dodge,Sprinter 2500 Passenger,['Van/Minivan'],"{'Van/Minivan': {'Super High Ceiling 118"" W.B. Van 3D': {'Horsepower': '154 @ 3800 rpm HP', 'Engine': '5-Cyl, Turbo Diesel, 2.7 Liter', 'Seating': 'Seats 5'}, 'High Ceiling 140"" W.B. Van 3D': {'Horsepower': '154 @ 3800 rpm HP', 'Engine': '5-Cyl, Turbo Diesel, 2.7 Liter', 'Seating': 'Seats 5'}, 'Super High Ceiling 158"" W.B. Van 3D': {'Horsepower': '154 @ 3800 rpm HP', 'Engine': '5-Cyl, Turbo Diesel, 2.7 Liter', 'Seating': 'Seats 5'}, 'Super High Ceiling 140"" W.B. Van 3D': {'Horsepower': '154 @ 3800 rpm HP', 'Engine': '5-Cyl, Turbo Diesel, 2.7 Liter', 'Seating': 'Seats 5'}, 'High Ceiling 118"" W.B. Van 3D': {'Engine': '5-Cyl, Turbo Diesel, 2.7 Liter', 'Horsepower': '154 @ 3800 rpm HP', 'Seating': 'Seats 5'}}}",{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Dodge-Sprinter%202500%20Passenger-FrontSide_DTSPR041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Dodge,Sprinter 3500 Cargo,['Van/Minivan'],"{'Van/Minivan': {'High Ceiling 140"" W.B. Van 3D': {'Horsepower': '154 @ 3800 rpm HP', 'Engine': '5-Cyl, Turbo Diesel, 2.7 Liter', 'Seating': 'Seats 2'}, 'Super High Ceiling 158"" W.B. Van 3D': {'Engine': '5-Cyl, Turbo Diesel, 2.7 Liter'}, 'Super High Ceiling 140"" W.B. Van 3D': {'Horsepower': '154 @ 3800 rpm HP', 'Engine': '5-Cyl, Turbo Diesel, 2.7 Liter', 'Seating': 'Seats 2'}}}",{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Dodge-Sprinter%203500%20Cargo-FrontSide_DTSPR041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Dodge,Stratus,"['Sedan', 'Coupe']","{'Sedan': {'SXT Sedan 4D': {'Horsepower': '147 @ 5500 rpm HP', 'Engine': '4-Cyl, 2.4 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, 'R/T Sedan 4D': {'Horsepower': '200 @ 5800 rpm HP', 'Engine': 'V6, 2.7 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}, 'Coupe': {'SXT Coupe 2D': {'Horsepower': '147 @ 5500 rpm HP', 'Engine': '4-Cyl, 2.4 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, 'R/T Coupe 2D': {'Horsepower': '200 @ 5500 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Dodge-Stratus-FrontSide_DOSTRSED041_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Dodge-Stratus-FrontSide_DOSTRCPE042_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2005,Dodge,Viper,['Convertible'],"{'Convertible': {'SRT10 Convertible 2D': {'Horsepower': '500 @ 5600 rpm HP', 'Engine': 'V10, 8.3 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 2'}}}",{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Dodge-Viper-FrontSide_DOVIP041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Ford,Crown Victoria,['Sedan'],"{'Sedan': {'LX Sedan 4D': {'Horsepower': '224 @ 4900 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 6'}, 'LX Sport Sedan 4D': {'Horsepower': '224 @ 4900 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, 'Sedan 4D': {'Horsepower': '224 @ 4900 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 6'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Ford-Crown%20Victoria-FrontSide_FOVIC051_505x318.jpg?interpolation=high-quality&downsize=391:*'}
2005,Ford,E150 Super Duty Cargo,['Van/Minivan'],"{'Van/Minivan': {'Commercial Van 3D': {'Horsepower': '225 @ 4800 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 5'}}}",{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Ford-E150%20Super%20Duty%20Cargo-FrontSide_FTECV041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Ford,E150 Super Duty Passenger,['Van/Minivan'],"{'Van/Minivan': {'XLT Van 3D': {'Engine': 'V8, 5.4 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 8'}, 'XL Van 3D': {'Horsepower': '225 @ 4800 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 8'}, 'Chateau Van 3D': {'Engine': 'V8, 5.4 Liter', 'Seating': 'Seats 7'}}}",{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Ford-E150%20Super%20Duty%20Passenger-FrontSide_FTECW042_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Ford,E250 Super Duty Cargo,['Van/Minivan'],"{'Van/Minivan': {'Van 3D': {'Horsepower': '255 @ 4500 rpm HP', 'Engine': 'V8, 5.4 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}, 'Extended Van 3D': {'Horsepower': '255 @ 4500 rpm HP', 'Engine': 'V8, 5.4 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}}",{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Ford-E250%20Super%20Duty%20Cargo-FrontSide_FTECV041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Ford,E350 Super Duty Cargo,['Van/Minivan'],"{'Van/Minivan': {'Commercial Extended Van 3D': {'Horsepower': '255 @ 4500 rpm HP', 'Engine': 'V8, 5.4 Liter'}, 'Commercial Van 3D': {'Horsepower': '255 @ 4500 rpm HP', 'Engine': 'V8, 5.4 Liter', 'Seating': 'Seats 5'}}}",{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Ford-E350%20Super%20Duty%20Cargo-FrontSide_FTECV041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Ford,E350 Super Duty Passenger,['Van/Minivan'],"{'Van/Minivan': {'XLT Extended Wagon 3D': {'Horsepower': '255 @ 4500 rpm HP', 'Engine': 'V8, 5.4 Liter', 'Seating': 'Seats 8'}, 'XLT Van 3D': {'Horsepower': '255 @ 4500 rpm HP', 'Engine': 'V8, 5.4 Liter', 'Seating': 'Seats 15'}, 'Chateau Van 3D': {'Horsepower': '255 @ 4500 rpm HP', 'Engine': 'V8, 5.4 Liter', 'Seating': 'Seats 15'}, 'XL Van 3D': {'Horsepower': '255 @ 4500 rpm HP', 'Engine': 'V8, 5.4 Liter', 'Seating': 'Seats 15'}, 'XL Extended Van 3D': {'Engine': 'V8, 5.4 Liter', 'Horsepower': '255 @ 4500 rpm HP', 'Seating': 'Seats 15'}}}",{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Ford-E350%20Super%20Duty%20Passenger-FrontSide_FTECW042_505x375.jpg?interpolation=high-quality&downsize=391:*'}
