year,make,model,body_styles,trim_data,image_sources
2003,Acura,CL,['Coupe'],"{'Coupe': {'3.2 Coupe 2D': {'Horsepower': '225 @ 5600 rpm HP', 'Engine': 'V6, VTEC, 3.2 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 4'}, '3.2 Type S Coupe 2D': {'Horsepower': '260 @ 6100 rpm HP', 'Engine': 'V6, HO VTEC, 3.2L', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-CL-FrontSide_ACCL-031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,MDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '260 @ 5750 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 7'}, 'Touring Sport Utility 4D': {'Horsepower': '260 @ 5750 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-MDX-FrontSide_ATMDX031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,NSX,['Coupe'],"{'Coupe': {'NSX-T Targa Open Top Coupe 2D': {'Horsepower': '290 @ 7100 rpm HP', 'Engine': 'V6, VTEC, 3.2 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-NSX-FrontSide_ACNSX031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,RL,['Sedan'],"{'Sedan': {'3.5 Sedan 4D': {'Horsepower': '225 @ 5200 rpm HP', 'Engine': 'V6, 3.5 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-RL-FrontSide_ACRL-031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,RSX,['Coupe'],"{'Coupe': {'Type S Sport Coupe 2D': {'Horsepower': '200 @ 7400 rpm HP', 'Engine': '4-Cyl, HO VTEC, 2.0L', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 4'}, 'Sport Coupe 2D': {'Horsepower': '160 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 4'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-RSX-FrontSide_ACRSX031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,TL,['Sedan'],"{'Sedan': {'3.2 Sedan 4D': {'Horsepower': '225 @ 5600 rpm HP', 'Engine': 'V6, VTEC, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '3.2 TYPE-S Sedan 4D': {'Horsepower': '260 @ 6100 rpm HP', 'Engine': 'V6, HO VTEC, 3.2L', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-TL-FrontSide_ACTL-031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Audi,A4,"['Wagon', 'Sedan', 'Convertible']","{'Sedan': {'1.8T Sedan 4D': {'Horsepower': '170 @ 5900 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, '1.8T Quattro Sedan 4D': {'Horsepower': '170 @ 5900 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '3.0 Sedan 4D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '3.0 Quattro Sedan 4D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'3.0 Avant Quattro Wagon 4D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, '1.8T Avant Quattro Wagon 4D': {'Horsepower': '170 @ 5900 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'3.0 Convertible 2D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '1.8T Convertible 2D': {'Horsepower': '170 @ 5900 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A4-FrontSide_AUA4SED031_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A4-FrontSide_AUA4WAG031_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A4-FrontSide_AUA4CAB03G_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2003,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': {'Quattro Sedan 4D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, '2.7T Quattro Sedan 4D': {'Horsepower': '250 @ 5800 rpm HP', 'Engine': 'V6, Turbo, 2.7 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, '4.2 Quattro Sedan 4D': {'Horsepower': '300 @ 6200 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'Sedan 4D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'Avant Quattro Wagon 4D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A6-FrontSide_AUA6SED031_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A6-Side_AUA6WAG028_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2003,Audi,A8,['Sedan'],"{'Sedan': {'Quattro Sedan 4D': {'Horsepower': '310 @ 6200 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'L Quattro Sedan 4D': {'Horsepower': '310 @ 6200 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A8-FrontSide_AUA8L031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Audi,allroad,['Wagon'],"{'Wagon': {'Quattro Wagon 4D': {'Horsepower': '250 @ 5800 rpm HP', 'Engine': 'V6, Turbo, 2.7 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}}}",{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-allroad-FrontSide_AUALL031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
