year,make,model,body_styles,trim_data,image_sources
2017,Acura,ILX,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/10421/2017-Acura-ILX-front-angle3_10421_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,MDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 7'}, 'SH-AWD Sport Utility 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11319/2017-Acura-MDX-360SpinFrame_11319_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,Acura,MDX Sport Hybrid,['SUV'],"{'SUV': {'SH-AWD w/Technology Pkg Sport Utility 4D': {'Horsepower': '257 @ 6300 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 7'}, 'SH-AWD w/Advance Pkg Sport Utility 4D': {'Horsepower': '257 @ 6300 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 6'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Acura-MDX%20Sport%20Hybrid-FrontSide_ATMDXSH1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,NSX,['Coupe'],"{'Coupe': {'Coupe 2D': {'Horsepower': '500 @ 6500 rpm HP', 'Engine': 'V6, Hybrid, Twin Turbo, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Acura-NSX-FrontSide_ACNSX1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,RDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '279 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/11340/2017-Acura-RDX-front-angle3_11340_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,RLX,['Sedan'],"{'Sedan': {'Technology Pkg Sedan 4D': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'Advance Pkg Sedan 4D': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Acura-RLX-FrontSide_ACRLX1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,RLX Sport Hybrid,['Sedan'],"{'Sedan': {'SH-AWD w/Advance Pkg Sedan 4D': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.5L', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}, 'SH-AWD w/Technology Pkg Sedan 4D': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.5L', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11150/2017-Acura-RLX%20Sport%20Hybrid-360SpinFrame_11150_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,Acura,TLX,['Sedan'],"{'Sedan': {'3.5 w/Technology Pkg Sedan 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5'}, '3.5 w/Advance Pkg Sedan 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5'}, '3.5 Sedan 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5'}, '2.4 w/Technology Pkg Sedan 4D': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}, '2.4 Sedan 4D': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11411/2017-Acura-TLX-360SpinFrame_11411_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,Alfa Romeo,4C,['Coupe'],"{'Coupe': {'Coupe 2D': {'Horsepower': '237 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 1.7 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/11130/2017-Alfa%20Romeo-4C-front-angle3_11130_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Alfa Romeo,Giulia,['Sedan'],"{'Sedan': {'Ti Sedan 4D': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '26 MPG', 'Seating': 'Seats 5'}, 'Quadrifoglio Sedan 4D': {'Horsepower': '505 @ 6500 rpm HP', 'Engine': 'V6, Twin Turbo, 2.9 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, 'Sedan 4D': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '26 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11848/2017-Alfa%20Romeo-Giulia-360SpinFrame_11848_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
