year,make,model,body_style(s),image_source(s)
2012,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Acura-MDX-FrontSide_ATMDX121_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2012,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Acura-RDX-FrontSide_ATRDX121_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2012,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Acura-RL-FrontSide_ACRL121_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2012,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Acura-TL-FrontSide_ACTL121_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2012,Acura,TSX,"['Wagon', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Acura-TSX-FrontSide_ACTSX121_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Acura-TSX-FrontSide_ACTSXW111_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2012,Acura,ZDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Acura-ZDX-FrontSide_ATZDX121_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2012,Aston Martin,DB9,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Aston%20Martin-DB9-FrontSide_ARDB9R121_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Aston%20Martin-DB9-FrontSide_ARDB9121_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2012,Aston Martin,DBS,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Aston%20Martin-DBS-FrontSide_ARDBSR121_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Aston%20Martin-DBS-FrontSide_ARDBS121_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2012,Aston Martin,Rapide,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Aston%20Martin-Rapide-FrontSide_ARRAPP121_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2012,Aston Martin,Vantage,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Aston%20Martin-Vantage-FrontSide_ARVANV8R121_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Aston%20Martin-Vantage-FrontSide_ARVANV8121_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2012,Aston Martin,Virage,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Aston%20Martin-Virage-FrontSide_ARVIRCONV121_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Aston%20Martin-Virage-FrontSide_ARVIR121_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2012,Audi,A3,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2012/2012-Audi-A3-FrontSide_AUA3121_640x480.jpg?interpolation=high-quality&downsize=391:*'}
