year,make,model,body_style(s),image_source(s)
1999,Acura,CL,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Acura-CL-FrontSide_ACCL23991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Acura,Integra,"['Sedan', 'Hatchback']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Acura-Integra-RearSide_ACINTSED991_505x312.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Acura-Integra-FrontSide_ACINTCPE992_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1999,Acura,NSX,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Acura-NSX-RearSide_ACNSXT991_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Acura-NSX-FrontSide_ACNSX981_505x358.jpg?interpolation=high-quality&downsize=391:*'}"
1999,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Acura-RL-FrontSide_ACRL-991_505x370.jpg?interpolation=high-quality&downsize=391:*'}
1999,Acura,SLX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Acura-SLX-FrontSide_ATSLX991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Acura-TL-FrontSide_ACTL-991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Audi,A4,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Audi-A4-FrontSide_AUA4SED993_505x368.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Audi-A4-FrontSide_AUA4WAG992_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1999,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Audi-A6-FrontSide_AUA6SED991_506x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Audi-A6-FrontSide_AUA6WAG994_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1999,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Audi-A8-Side_AUA8-991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,BMW,3 Series,"['Coupe', 'Hatchback', 'Convertible', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-3%20Series-FrontSide_BM323SED991_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-3%20Series-FrontSide_BM328CONV983_505x368.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-3%20Series-FrontSide_BM318991_505x361.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-3%20Series-FrontSide_BM323CPE982_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1999,BMW,5 Series,"['Wagon', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-5%20Series-FrontSide_BM528SED991_505x321.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-5%20Series-FrontSide_BM540WAG993_506x365.jpg?interpolation=high-quality&downsize=391:*'}"
1999,BMW,7 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-7%20Series-FrontSide_BM740IL992_505x289.jpg?interpolation=high-quality&downsize=391:*'}
1999,BMW,M3,"['Coupe', 'Convertible']","{'Convertible': 'https://static.kbb.com/ymm/master/static/media/coming-soon.62520a79.png', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-M3-RearSide_BMM3-991_505x322.jpg?interpolation=high-quality&downsize=391:*'}"
1999,BMW,Z3,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-Z3-FrontSide_BMZ328RDSTR997_505x346.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-BMW-Z3-FrontSide_BMZ3CPE993_505x361.jpg?interpolation=high-quality&downsize=391:*'}"
1999,Buick,Century,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Buick-Century-FrontSide_BUCENCUST991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Buick,LeSabre,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Buick-LeSabre-FrontSide_BULESLTD992_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Buick,Park Avenue,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Buick-Park%20Avenue-FrontSide_BUPRK991_505x368.jpg?interpolation=high-quality&downsize=391:*'}
1999,Buick,Regal,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Buick-Regal-FrontSide_BUREGLS993_505x352.jpg?interpolation=high-quality&downsize=391:*'}
1999,Buick,Riviera,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Buick-Riviera-FrontSide_BURIV991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Cadillac,Catera,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Cadillac-Catera-FrontSide_CACAT991_505x362.jpg?interpolation=high-quality&downsize=391:*'}
1999,Cadillac,DeVille,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Cadillac-DeVille-FrontSide_CADEV991_505x354.jpg?interpolation=high-quality&downsize=391:*'}
1999,Cadillac,Eldorado,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Cadillac-Eldorado-FrontSide_CAELD991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Cadillac,Escalade,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Cadillac-Escalade-FrontSide_CSESC991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Cadillac,Seville,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Cadillac-Seville-FrontSide_CASEVSLS995_505x360.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,1500 Extended Cab,['Pickup'],{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-1500%20Extended%20Cab-Side_CT15E991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,2500 Crew Cab,['Pickup'],{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-2500%20Crew%20Cab-FrontSide_CTCRW991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,2500 HD Extended Cab,['Pickup'],{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-2500%20HD%20Extended%20Cab-FrontSide_CT25E991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,2500 HD Regular Cab,['Pickup'],{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-2500%20HD%20Regular%20Cab-FrontSide_CT15R981_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,3500 Crew Cab,['Pickup'],{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-3500%20Crew%20Cab-FrontSide_CTCRW991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,3500 Extended Cab,['Pickup'],{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-3500%20Extended%20Cab-FrontSide_CT25E991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,3500 Regular Cab,['Pickup'],{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-3500%20Regular%20Cab-FrontSide_CT15R982_505x355.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Astro Cargo,['Van/Minivan'],{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Astro%20Cargo-RearSide_CTASC991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Astro Passenger,['Van/Minivan'],{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Astro%20Passenger-FrontSide_CTASP992_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Blazer,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Blazer-FrontSide_CTBLZ2D991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Camaro,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Camaro-FrontSide_CHCAMCONV992_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Camaro-FrontSide_CHCAMCPE991_505x374.jpg?interpolation=high-quality&downsize=391:*'}"
1999,Chevrolet,Cavalier,"['Coupe', 'Sedan', 'Convertible']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Cavalier-FrontSide_CHCAVSED992_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Cavalier-FrontSide_CHCAVZ24CONV996_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Cavalier-FrontSide_CHCAVCPE991_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1999,Chevrolet,Corvette,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Corvette-FrontSide_CHCVTCONV995_505x374.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Corvette-FrontSide_CHCVTCPE993_505x363.jpg?interpolation=high-quality&downsize=391:*'}"
1999,Chevrolet,Express 1500 Cargo,['Van/Minivan'],{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Express%201500%20Cargo-FrontSide_CTEXC991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Express 1500 Passenger,['Van/Minivan'],{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Express%201500%20Passenger-FrontSide_CTEXP992_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Express 2500 Cargo,['Van/Minivan'],{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Express%202500%20Cargo-FrontSide_CTEXC991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Express 2500 Passenger,['Van/Minivan'],{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Express%202500%20Passenger-FrontSide_CTEXP991_505x369.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Express 3500 Cargo,['Van/Minivan'],{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Express%203500%20Cargo-FrontSide_CTEXC991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Express 3500 Passenger,['Van/Minivan'],{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Express%203500%20Passenger-FrontSide_CTEXP992_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Lumina,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Lumina-FrontSide_CHLUMLS993_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1999,Chevrolet,Malibu,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1999/1999-Chevrolet-Malibu-Side_CHMAL991_505x375.jpg?interpolation=high-quality&downsize=391:*'}
