year,make,model,body_style(s),image_source(s)
2019,Audi,S5,"['Convertible', 'Coupe', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12034/2019-Audi-S5-360SpinFrame_12034_032_2400x1800.png?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12047/2019-Audi-S5-360SpinFrame_12047_032_2400x1800.png?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11988/2019-Audi-S5-360SpinFrame_11988_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
2019,Audi,SQ5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13367/2019-Audi-SQ5-360SpinFrame_13367_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,BMW,2 Series,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12462/2019-BMW-2%20Series-360SpinFrame_12462_032_2400x1800.png?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12561/2019-BMW-2%20Series-360SpinFrame_12561_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
2019,BMW,3 Series,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13482/2019-BMW-3%20Series-360SpinFrame_13482_032_2400x1800.png?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13713/2019-BMW-3%20Series-360SpinFrame_13713_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
2019,BMW,4 Series,"['Convertible', 'Sedan', 'Coupe']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12003/2019-BMW-4%20Series-360SpinFrame_12003_032_2400x1800.png?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-BMW-4%20Series-FrontSide_BM4R1901_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12085/2019-BMW-4%20Series-360SpinFrame_12085_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
2019,BMW,5 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12994/2019-BMW-5%20Series-360SpinFrame_12994_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,BMW,7 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12894/2019-BMW-7%20Series-360SpinFrame_12894_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,BMW,i3,['Hatchback'],{'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12662/2019-BMW-i3-360SpinFrame_12662_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,BMW,i8,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-BMW-i8-FrontSide_BMI8R1901_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-BMW-i8-FrontSide_BMI8C1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2019,BMW,M2,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-BMW-M2-FrontSide_BMM21901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
