year,make,model,body_style(s),image_source(s)
2003,Acura,CL,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-CL-FrontSide_ACCL-031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-MDX-FrontSide_ATMDX031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,NSX,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-NSX-FrontSide_ACNSX031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-RL-FrontSide_ACRL-031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,RSX,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-RSX-FrontSide_ACRSX031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Acura-TL-FrontSide_ACTL-031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Audi,A4,"['Wagon', 'Sedan', 'Convertible']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A4-FrontSide_AUA4SED031_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A4-FrontSide_AUA4WAG031_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A4-FrontSide_AUA4CAB03G_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2003,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A6-FrontSide_AUA6SED031_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A6-Side_AUA6WAG028_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2003,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-A8-FrontSide_AUA8L031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Audi,allroad,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-allroad-FrontSide_AUALL031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Audi,RS 6,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-RS%206-FrontSide_AURS6031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Audi,S6,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-S6-FrontSide_AUS6-031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Audi,S8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-S8-FrontSide_AUS8-031_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2003,Audi,TT,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-TT-FrontSide_AUTTR031_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2003/2003-Audi-TT-FrontSide_AUTT-031_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
