year,make,model,body_style(s),image_source(s)
2008,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Acura-MDX-FrontSide_ATMDX081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/4619/2008-Acura-RDX-front-angle3_4619_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2008,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Acura-RL-FrontSide_ACRL081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Acura-TL-FrontSide_ACTL081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Acura,TSX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Acura-TSX-FrontSide_ACTSX081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Aston Martin,DB9,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Aston%20Martin-DB9-FrontSide_ARDB9CNV061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Aston%20Martin-DB9-FrontSide_ARDB9081_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2008,Aston Martin,DBS,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Aston%20Martin-DBS-FrontSide_ARDBS081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Aston Martin,Vantage,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Aston%20Martin-Vantage-FrontSide_ARVANTR071_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Aston%20Martin-Vantage-FrontSide_ARVANT071_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2008,Audi,A3,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-A3-FrontSide_AUA3081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Audi,A4,"['Convertible', 'Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/4511/2008-Audi-A4-front-angle3_4511_089_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-A4-FrontSide_AUA4AV081_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-A4-RearSide_AUA4CAB081_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2008,Audi,A5,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/5233/2008-Audi-A5-front-angle3_5233_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2008,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-A6-FrontSide_AUA6081_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-A6-FrontSide_AUA6W081_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2008,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-A8-FrontSide_AUA8081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Audi,Q7,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-Q7-FrontSide_AQQ7081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Audi,R8,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-R8-FrontSide_AURR8081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Audi,RS 4,"['Sedan', 'Convertible']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-RS%204-Front_AURS4084_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-RS%204-FrontSide_AURS4CNV081_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2008,Audi,S4,"['Sedan', 'Wagon', 'Convertible']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-S4-FrontSide_AUS4081_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/4986/2008-Audi-S4-front-angle3_4986_089_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-S4-RearSide_AUS4CNV082_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2008,Audi,S5,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-S5-FrontSide_AUSS5081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Audi,S6,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-S6-FrontSide_AUS6081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2008,Audi,S8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2008/2008-Audi-S8-FrontSide_AUS8081_505x375.jpg?interpolation=high-quality&downsize=391:*'}
