year,make,model,body_style(s),image_source(s)
2015,Acura,ILX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Acura-ILX-FrontSide_ACILX151_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2015,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Acura-MDX-FrontSide_ATMDX151_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2015,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Acura-RDX-FrontSide_ATRDX151_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2015,Acura,RLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Acura-RLX-FrontSide_ACRLX151_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2015,Acura,TLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Acura-TLX-FrontSide_ACTLX151_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2015,Alfa Romeo,4C,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Alfa%20Romeo-4C-FrontSide_AL4CC1501_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2015,Alfa Romeo,4C Spider,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Alfa%20Romeo-4C%20Spider-FrontSide_AL4CSP1501_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2015,Aston Martin,DB9,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Aston%20Martin-DB9-FrontSide_ARDB9R1501_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Aston%20Martin-DB9-FrontSide_ARDB91501_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2015,Aston Martin,Rapide S,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Aston%20Martin-Rapide%20S-FrontSide_ARRAPS151_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2015,Aston Martin,Vanquish,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Aston%20Martin-Vanquish-FrontSide_ARVANQV151_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2015/2015-Aston%20Martin-Vanquish-FrontSide_ARVANQ151_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
