year,make,model,body_style(s),image_source(s)
2013,Acura,ILX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Acura-ILX-FrontSide_ACILX131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Acura-MDX-FrontSide_ATMDX131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Acura-RDX-FrontSide_ATRDX131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Acura-TL-FrontSide_ACTL131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Acura,TSX,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Acura-TSX-FrontSide_ACTSX131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Acura-TSX-FrontSide_ACTSXW131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,Acura,ZDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Acura-ZDX-FrontSide_ATZDX131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Aston Martin,DB9,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Aston%20Martin-DB9-FrontSide_ARDB9R131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Aston%20Martin-DB9-FrontSide_ARDB9131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,Aston Martin,Vantage,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/8774/2013-Aston%20Martin-Vantage-front-angle3_8774_089_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Aston%20Martin-Vantage-FrontSide_ARVANN131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,Audi,A3,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-A3-FrontSide_AUA3131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,A4,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-A4-FrontSide_AUA4SED131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,A5,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-A5-FrontSide_AUA5R131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-A5-FrontSide_AUA5131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,Audi,A6,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-A6-FrontSide_AUA6131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,A7,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-A7-FrontSide_AUA7131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-A8-FrontSide_AUA8131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,allroad,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-allroad-FrontSide_AUARL131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,Q5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-Q5-FrontSide_AQQ5131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,Q7,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-Q7-FrontSide_AQQ7131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,RS 5,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-RS%205-FrontSide_AURS5R131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-RS%205-FrontSide_AURS5131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,Audi,S4,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-S4-FrontSide_AUS4131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,S5,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-S5-FrontSide_AUS5CAB131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-S5-FrontSide_AUS5131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,Audi,S6,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-S6-FrontSide_AUS6131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,S7,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-S7-FrontSide_AUS7131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,S8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-S8-FrontSide_AUS8131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,Audi,TT,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-TT-FrontSide_AUTTR131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Audi-TT-FrontSide_AUTT131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,Bentley,Continental,"['Sedan', 'Convertible', 'Coupe']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Bentley-Continental-FrontSide_BYFS131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Bentley-Continental-FrontSide_BYGTCW12131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Bentley-Continental-FrontSide_BYGTW12131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,Bentley,Mulsanne,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-Bentley-Mulsanne-FrontSide_BYMUL131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,BMW,1 Series,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-1%20Series-FrontSide_BM1R131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-1%20Series-FrontSide_BM1C131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,BMW,3 Series,"['Convertible', 'Sedan', 'Coupe']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-3%20Series-FrontSide_BM3S131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-3%20Series-FrontSide_BM3R131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-3%20Series-FrontSide_BM3C131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,BMW,5 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-5%20Series-FrontSide_BM5H131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,BMW,6 Series,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-6%20Series-FrontSide_BM6R131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-6%20Series-FrontSide_BM6131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,BMW,7 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-7%20Series-FrontSide_BM7AH131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,BMW,M3,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-M3-FrontSide_BMM3R131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-M3-FrontSide_BMM3C131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,BMW,M5,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-M5-FrontSide_BMM5131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,BMW,M6,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-M6-FrontSide_BMM6R131_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-M6-FrontSide_BMM6C131_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2013,BMW,X1,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-X1-FrontSide_BMX1131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,BMW,X3,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-X3-FrontSide_BTX3131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,BMW,X5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-X5-FrontSide_BTX535D131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,BMW,X5 M,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-X5%20M-FrontSide_BTX5M131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,BMW,X6,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-X6-FrontSide_BTX6131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2013,BMW,X6 M,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2013/2013-BMW-X6%20M-FrontSide_BTX6M131_640x480.jpg?interpolation=high-quality&downsize=391:*'}
