year,make,model,body_style(s),image_source(s)
2018,Acura,ILX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11219/2018-Acura-ILX-360SpinFrame_11219_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12361/2018-Acura-MDX-360SpinFrame_12361_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,MDX Sport Hybrid,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12992/2018-Acura-MDX%20Sport%20Hybrid-360SpinFrame_12992_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,NSX,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11810/2018-Acura-NSX-360SpinFrame_11810_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Acura-RDX-FrontSide_ATRDX1801_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2018,Acura,RLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12480/2018-Acura-RLX-360SpinFrame_12480_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,RLX Sport Hybrid,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12568/2018-Acura-RLX%20Sport%20Hybrid-360SpinFrame_12568_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,TLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Acura-TLX-FrontSide_ACTLX1801_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2018,Alfa Romeo,4C,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11130/2018-Alfa%20Romeo-4C-360SpinFrame_11130_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Alfa Romeo,4C Spider,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Alfa%20Romeo-4C%20Spider-FrontSide_AL4CS1801_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2018,Alfa Romeo,Giulia,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12453/2018-Alfa%20Romeo-Giulia-360SpinFrame_12453_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Alfa Romeo,Stelvio,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12164/2018-Alfa%20Romeo-Stelvio-360SpinFrame_12164_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Aston Martin,DB11,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Aston%20Martin-DB11-FrontSide_ARDB111801_640x480.jpg?interpolation=high-quality&downsize=391:*'}
