year,make,model,body_style(s),image_source(s)
1992,Acura,Integra,"['Sedan', 'Hatchback']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Integra-RearSide_ACINTSEDLS923_505x368.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Integra-FrontSide_ACINTHBRS921_505x346.jpg?interpolation=high-quality&downsize=391:*'}"
1992,Acura,Legend,"['Sedan', 'Coupe']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Legend-RearSide_ACLEGSED923_505x353.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Legend-FrontSide_ACLEGCPEL921_505x357.jpg?interpolation=high-quality&downsize=391:*'}"
1992,Acura,NSX,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-NSX-FrontSide_ACNSX921_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,Acura,Vigor,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Vigor-RearSide_ACVIGLS923_505x350.jpg?interpolation=high-quality&downsize=391:*'}
1992,Alfa Romeo,164,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Alfa%20Romeo-164-FrontSide_AL164912_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,Alfa Romeo,Spider,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Alfa%20Romeo-Spider-FrontSide_ALSPI911_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,Audi,100,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Audi-100-FrontSide_AU100921_505x345.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Audi-100-FrontSide_AU100CSWAGQT921_505x300.jpg?interpolation=high-quality&downsize=391:*'}"
1992,Audi,80,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Audi-80-FrontSide_AU80921_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,Audi,Quattro,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Audi-Quattro-FrontSide_AUQTR921_505x364.jpg?interpolation=high-quality&downsize=391:*'}
1992,Audi,S4,['Sedan'],{'Sedan': 'https://static.kbb.com/ymm/master/static/media/coming-soon.62520a79.png'}
1992,BMW,3 Series,"['Coupe', 'Convertible', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-BMW-3%20Series-FrontSide_BM318ISED921_505x339.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-BMW-3%20Series-FrontSide_BM318ICNV921_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-BMW-3%20Series-RearSide_BM318IS933_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1992,BMW,5 Series,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-BMW-5%20Series-FrontSide_BM525ISED921_505x277.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-BMW-5%20Series-FrontSide_BM525IWAG921_505x325.jpg?interpolation=high-quality&downsize=391:*'}"
1992,BMW,7 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-BMW-7%20Series-FrontSide_BM735I921_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,BMW,8 Series,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-BMW-8%20Series-FrontSide_BM850921_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,BMW,M5,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-BMW-M5-FrontSide_BMM5921_505x275.jpg?interpolation=high-quality&downsize=391:*'}
1992,Buick,Century,"['Coupe', 'Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Buick-Century-FrontSide_BUCENSEDCST911_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Buick-Century-FrontSide_BUCENLTDWAG921_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Buick-Century-FrontSide_BUCENCSTCPE901_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1992,Buick,LeSabre,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Buick-LeSabre-FrontSide_BULESCST924_505x345.jpg?interpolation=high-quality&downsize=391:*'}
