year,make,model,body_style(s),trim(s),image_source(s)
1992,Acura,Integra,"['Sedan', 'Hatchback']","{'Sedan': {'GS Sedan 4D': {'Horsepower': '140 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'RS Sedan 4D': {'Horsepower': '140 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'LS Sedan 4D': {'Horsepower': '140 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}, 'Hatchback': {'LS Hatchback 2D': {'Horsepower': '140 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 4'}, 'RS Hatchback 2D': {'Horsepower': '140 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 4'}, 'GS Hatchback 2D': {'Horsepower': '140 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 4'}, 'GS-R Hatchback 2D': {'Horsepower': '160 @ 7600 rpm HP', 'Engine': '4-Cyl, VTEC, 1.7 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 4'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Integra-RearSide_ACINTSEDLS923_505x368.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Integra-FrontSide_ACINTHBRS921_505x346.jpg?interpolation=high-quality&downsize=391:*'}"
1992,Acura,Legend,"['Sedan', 'Coupe']","{'Sedan': {'L Sedan 4D': {'Horsepower': '200 @ 5500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, 'LS Sedan 4D': {'Horsepower': '200 @ 5500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, 'Sedan 4D': {'Horsepower': '200 @ 5500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}, 'Coupe': {'L Coupe 2D': {'Horsepower': '200 @ 5500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, 'LS Coupe 2D': {'Horsepower': '200 @ 5500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Legend-RearSide_ACLEGSED923_505x353.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Legend-FrontSide_ACLEGCPEL921_505x357.jpg?interpolation=high-quality&downsize=391:*'}"
1992,Acura,NSX,['Coupe'],"{'Coupe': {'Sport Coupe 2D': {'Horsepower': '270 @ 7100 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-NSX-FrontSide_ACNSX921_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,Acura,Vigor,['Sedan'],"{'Sedan': {'GS Sedan 4D': {'Horsepower': '176 @ 6300 rpm HP', 'Engine': '5-Cyl, 2.5 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, 'LS Sedan 4D': {'Horsepower': '176 @ 6300 rpm HP', 'Engine': '5-Cyl, 2.5 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Acura-Vigor-RearSide_ACVIGLS923_505x350.jpg?interpolation=high-quality&downsize=391:*'}
1992,Alfa Romeo,164,['Sedan'],"{'Sedan': {'S Sedan 4D': {'Horsepower': '183 @ 5800 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'L Sedan 4D': {'Horsepower': '183 @ 5800 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Alfa%20Romeo-164-FrontSide_AL164912_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,Alfa Romeo,Spider,['Convertible'],"{'Convertible': {'Veloce Convertible 2D': {'Horsepower': '120 @ 5800 rpm HP', 'Engine': '4-Cyl, 2.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2'}, 'Convertible 2D': {'Horsepower': '120 @ 5800 rpm HP', 'Engine': '4-Cyl, 2.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2'}}}",{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Alfa%20Romeo-Spider-FrontSide_ALSPI911_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,Audi,100,"['Sedan', 'Wagon']","{'Sedan': {'S Sedan 4D': {'Horsepower': '172 @ 5500 rpm HP', 'Engine': 'V6, 2.8 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'CS Quattro Sedan 4D': {'Horsepower': '172 @ 5500 rpm HP', 'Engine': 'V6, 2.8 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'CS Sedan 4D': {'Horsepower': '172 @ 5500 rpm HP', 'Engine': 'V6, 2.8 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'Sedan 4D': {'Horsepower': '172 @ 5500 rpm HP', 'Engine': 'V6, 2.8 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'CS Quattro Wagon 4D': {'Horsepower': '172 @ 5500 rpm HP', 'Engine': 'V6, 2.8 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Audi-100-FrontSide_AU100921_505x345.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Audi-100-FrontSide_AU100CSWAGQT921_505x300.jpg?interpolation=high-quality&downsize=391:*'}"
1992,Audi,80,['Sedan'],"{'Sedan': {'Quattro Sedan 4D': {'Horsepower': '130 @ 5500 rpm HP', 'Engine': '5-Cyl, 2.3 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'Sedan 4D': {'Horsepower': '130 @ 5500 rpm HP', 'Engine': '5-Cyl, 2.3 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Audi-80-FrontSide_AU80921_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1992,Audi,Quattro,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '276 @ 5800 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1992/1992-Audi-Quattro-FrontSide_AUQTR921_505x364.jpg?interpolation=high-quality&downsize=391:*'}
1992,Audi,S4,['Sedan'],"{'Sedan': {'Quattro Sedan 4D': {'Horsepower': '227 @ 5900 rpm HP', 'Engine': '5-Cyl, Turbo, 2.2 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://static.kbb.com/ymm/master/static/media/coming-soon.62520a79.png'}
