year,make,model,body_styles,trims,image_sources
2016,Acura,ILX,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Acura-ILX-FrontSide_ACILXTP161_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2016,Acura,MDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'SH-AWD Sport Utility 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Acura-MDX-FrontSide_ATMDX161_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2016,Acura,RDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '279 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Acura-RDX-FrontSide_ATRDXX1601_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2016,Acura,RLX,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Acura-RLX-FrontSide_ACRLX161_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2016,Acura,RLX Sport Hybrid,['Sedan'],"{'Sedan': {'SH-AWD Sedan 4D': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.5L', 'Combined Fuel Economy': '30 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Acura-RLX%20Sport%20Hybrid-FrontSide_ACRLXSH1601_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2016,Acura,TLX,['Sedan'],"{'Sedan': {'3.5 Sedan 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5'}, '2.4 Sedan 4D': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Acura-TLX-FrontSide_ACTLX1601_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2016,Alfa Romeo,4C,['Coupe'],"{'Coupe': {'Coupe 2D': {'Horsepower': '237 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 1.7 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Alfa%20Romeo-4C-FrontSide_AL4CC1601_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2016,Alfa Romeo,4C Spider,['Convertible'],"{'Convertible': {'Convertible 2D': {'Horsepower': '237 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 1.7 Liter', 'Seating': 'Seats 2'}}}",{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Alfa%20Romeo-4C%20Spider-FrontSide_AL4CSP1601_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2016,Aston Martin,DB9 GT,"['Coupe', 'Convertible']","{'Convertible': {'Volante Convertible 2D': {'Horsepower': '540 @ 6750 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Bond Edition Coupe 2D': {'Horsepower': '540 @ 6750 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}, 'Coupe 2D': {'Horsepower': '540 @ 6750 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Aston%20Martin-DB9%20GT-FrontSide_ARDB9GTV1601_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Aston%20Martin-DB9%20GT-FrontSide_ARDB9GT1601_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2016,Aston Martin,Rapide S,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '550 @ 6750 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 4'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2016/2016-Aston%20Martin-Rapide%20S-FrontSide_ARRAPS1601_640x480.jpg?interpolation=high-quality&downsize=391:*'}
