year,make,model,body_styles,trims,image_sources
2007,Audi,A8,['Sedan'],"{'Sedan': {'L Quattro Sedan 4D': {'Horsepower': '330 @ 6500 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-A8-FrontSide_AUA8SED071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Audi,Q7,['SUV'],"{'SUV': {'4.2 Quattro Sport Utility 4D': {'Horsepower': '350 @ 6800 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 7'}, '3.6 Quattro Premium Sport Utility 4D': {'Horsepower': '280 @ 6200 rpm HP', 'Engine': 'V6, 3.6 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 6'}, '3.6 Quattro Sport Utility 4D': {'Horsepower': '280 @ 6200 rpm HP', 'Engine': 'V6, 3.6 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 7'}, '4.2 Quattro Premium Sport Utility 4D': {'Horsepower': '350 @ 6800 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-Q7-FrontSide_AQQ7071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Audi,RS 4,['Sedan'],"{'Sedan': {'Quattro Sedan 4D': {'Horsepower': '420 @ 7500 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-RS%204-FrontSide_AURS4071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Audi,S4,"['Sedan', 'Wagon', 'Convertible']","{'Sedan': {'Quattro Sedan 4D': {'Horsepower': '340 @ 7000 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'Avant Quattro Wagon 4D': {'Horsepower': '340 @ 7000 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'Quattro Cabriolet 2D': {'Horsepower': '340 @ 7000 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-S4-FrontSide_AUS4SED071_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-S4-RearSide_AUS4WAG072_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-S4-RearSide_AUS4CNV072_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2007,Audi,S6,['Sedan'],"{'Sedan': {'Quattro Sedan 4D': {'Horsepower': '435 @ 6800 rpm HP', 'Engine': 'V10, 5.2 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-S6-FrontSide_AUS6071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Audi,S8,['Sedan'],"{'Sedan': {'Quattro Sedan 4D': {'Horsepower': '450 @ 7000 rpm HP', 'Engine': 'V10, 5.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-S8-Front_AUS8074_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Bentley,Arnage,['Sedan'],"{'Sedan': {'T Sedan 4D': {'Horsepower': '450 @ 4200 rpm HP', 'Engine': 'V8, Twin Turbo, 6.8 Liter', 'Combined Fuel Economy': '11 MPG', 'Seating': 'Seats 5'}, 'RL Sedan 4D': {'Horsepower': '450 @ 4200 rpm HP', 'Engine': 'V8, Twin Turbo, 6.8 Liter', 'Combined Fuel Economy': '11 MPG', 'Seating': 'Seats 5'}, 'R Sedan 4D': {'Horsepower': '450 @ 4200 rpm HP', 'Engine': 'V8, Twin Turbo, 6.8 Liter', 'Combined Fuel Economy': '11 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Bentley-Arnage-FrontSide_BYARN071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Bentley,Azure,['Convertible'],"{'Convertible': {'Convertible 2D': {'Horsepower': '450 @ 4100 rpm HP', 'Engine': 'V8, Twin Turbo, 6.8 Liter', 'Combined Fuel Economy': '11 MPG', 'Seating': 'Seats 4'}}}",{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Bentley-Azure-FrontSide_BYAZU071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Bentley,Continental,"['Sedan', 'Coupe', 'Convertible']","{'Sedan': {'Flying Spur Sedan 4D': {'Horsepower': '552 @ 6100 rpm HP', 'Engine': 'W12, Twin Turbo, 6.0L', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'GTC Convertible 2D': {'Horsepower': '552 @ 6100 rpm HP', 'Engine': 'W12, Twin Turbo, 6.0L', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'GT Coupe 2D': {'Horsepower': '552 @ 6100 rpm HP', 'Engine': 'W12, Twin Turbo, 6.0L', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Bentley-Continental-FrontSide_BYCONFS071_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Bentley-Continental-FrontSide_BYCONGTC071_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Bentley-Continental-FrontSide_BYCONGT071_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2007,BMW,3 Series,"['Coupe', 'Sedan', 'Convertible', 'Wagon']","{'Sedan': {'328i Sedan 4D': {'Horsepower': '230 @ 6500 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '328xi Sedan 4D': {'Horsepower': '230 @ 6500 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '335i Sedan 4D': {'Horsepower': '300 @ 5800 rpm HP', 'Engine': '6-Cyl, Twin Turbo, 3.0L', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '335xi Sedan 4D': {'Horsepower': '300 @ 5800 rpm HP', 'Engine': '6-Cyl, Twin Turbo, 3.0L', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'328xi Wagon 4D': {'Horsepower': '230 @ 6500 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '328i Wagon 4D': {'Horsepower': '230 @ 6500 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'328i Convertible 2D': {'Horsepower': '230 @ 6500 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 4'}, '335i Convertible 2D': {'Horsepower': '300 @ 5800 rpm HP', 'Engine': '6-Cyl, Twin Turbo, 3.0L', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'335i Coupe 2D': {'Horsepower': '300 @ 5800 rpm HP', 'Engine': '6-Cyl, Twin Turbo, 3.0L', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}, '328xi Coupe 2D': {'Horsepower': '230 @ 6500 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}, '328i Coupe 2D': {'Horsepower': '230 @ 6500 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 4'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-BMW-3%20Series-Front_BM328ISED074_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-BMW-3%20Series-FrontSide_BM328IWAG071_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-BMW-3%20Series-FrontSide_BM3R071_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-BMW-3%20Series-FrontSide_BM328ICPE071_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
