year,make,model,body_style(s),image_source(s)
2010,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-MDX-FrontSide_ATMDX101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-RDX-FrontSide_ATRDX101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-RL-FrontSide_ACRL101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-TL-FrontSide_ACTL101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,TSX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-TSX-FrontSide_ACTSX101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,ZDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-ZDX-FrontSide_ATZDX101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Aston Martin,DB9,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-DB9-FrontSide_ARDB9R101_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-DB9-FrontSide_ARDB9101_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2010,Aston Martin,DBS,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-DBS-FrontSide_ARDBSR101_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-DBS-FrontSide_ARDBS101_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2010,Aston Martin,Rapide,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-Rapide-FrontSide_ARRAP101_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2010,Aston Martin,Vantage,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-Vantage-FrontSide_ARVANR101_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/6677/2010-Aston%20Martin-Vantage-front-angle3_6677_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
