year,make,model,body_style(s),trim(s),image_source(s)
2006,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': {'4.2 Quattro Sedan 4D': {'Horsepower': '335 @ 6600 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 5'}, '3.2 Sedan 4D': {'Horsepower': '255 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '3.2 Quattro Sedan 4D': {'Horsepower': '255 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'3.2 Avant Quattro Wagon 4D': {'Horsepower': '255 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Audi-A6-FrontSide_AUA6SED061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Audi-A6-FrontSide_AUA6WAG061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,Audi,A8,['Sedan'],{'Sedan': {}},{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Audi-A8-FrontSide_AUA8L061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2006,Audi,S4,"['Sedan', 'Wagon', 'Convertible']","{'Sedan': {'Quattro Special Edition Sedan 4D': {'Horsepower': '340 @ 7000 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}, 'Quattro Sedan 4D': {'Horsepower': '340 @ 7000 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'Avant Quattro Wagon 4D': {'Horsepower': '340 @ 7000 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'Quattro Cabriolet 2D': {'Horsepower': '340 @ 7000 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Audi-S4-FrontSide_AUS4SED061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Audi-S4-FrontSide_AUS4WAG061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Audi-S4-FrontSide_AUS4CNV061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,Audi,TT,"['Coupe', 'Convertible']","{'Convertible': {'Quattro Special Ed Roadster 2D': {'Horsepower': '250 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 2'}, 'Quattro Roadster 2D': {'Horsepower': '250 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 0'}, 'Roadster 2D': {'Horsepower': '180 @ 5500 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2'}}, 'Coupe': {'Quattro Coupe 2D': {'Horsepower': '250 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 0'}, 'Coupe 2D': {'Horsepower': '180 @ 5500 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 4'}, 'Quattro Special Ed Coupe 2D': {'Horsepower': '250 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Audi-TT-FrontSide_AUTTR061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Audi-TT-FrontSide_AUTT061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,Bentley,Arnage,['Sedan'],"{'Sedan': {'T Sedan 4D': {'Horsepower': '450 @ 4200 rpm HP', 'Engine': 'V8, Twin Turbo, 6.8 Liter', 'Combined Fuel Economy': '11 MPG', 'Seating': 'Seats 5'}, 'RL Sedan 4D': {'Horsepower': '450 @ 4200 rpm HP', 'Engine': 'V8, Twin Turbo, 6.8 Liter', 'Combined Fuel Economy': '11 MPG', 'Seating': 'Seats 5'}, 'R Sedan 4D': {'Horsepower': '450 @ 4200 rpm HP', 'Engine': 'V8, Twin Turbo, 6.8 Liter', 'Combined Fuel Economy': '11 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Bentley-Arnage-FrontSide_BYARN061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2006,Bentley,Continental,"['Sedan', 'Coupe']","{'Sedan': {'Flying Spur Sedan 4D': {'Horsepower': '552 @ 6100 rpm HP', 'Engine': 'W12, Twin Turbo, 6.0L', 'Combined Fuel Economy': '12 MPG', 'Seating': 'Seats 5'}}, 'Coupe': {'GT Coupe 2D': {'Horsepower': '552 @ 6100 rpm HP', 'Engine': 'W12, Twin Turbo, 6.0L', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Bentley-Continental-Front_BYCONFS064_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Bentley-Continental-FrontSide_BYCONGT061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,BMW,3 Series,"['Coupe', 'Sedan', 'Convertible', 'Wagon']","{'Sedan': {'330xi Sedan 4D': {'Horsepower': '255 @ 6600 rpm HP', 'Engine': '6-Cyl, HO, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '325i Sedan 4D': {'Horsepower': '215 @ 6250 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '325xi Sedan 4D': {'Horsepower': '215 @ 6250 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '330i Sedan 4D': {'Horsepower': '255 @ 6600 rpm HP', 'Engine': '6-Cyl, HO, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'325xi Wagon 4D': {'Horsepower': '215 @ 6250 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'330Ci Convertible 2D': {'Horsepower': '225 @ 5900 rpm HP', 'Engine': '6-Cyl, HO, 3.0 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, '325Ci Convertible 2D': {'Horsepower': '184 @ 6000 rpm HP', 'Engine': '6-Cyl, 2.5 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'330Ci Coupe 2D': {'Horsepower': '225 @ 5900 rpm HP', 'Engine': '6-Cyl, HO, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '325Ci Coupe 2D': {'Horsepower': '184 @ 6000 rpm HP', 'Engine': '6-Cyl, 2.5 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-3%20Series-Front_BM325I064_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-3%20Series-FrontSide_BM3WAG061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-3%20Series-FrontSide_BM3CNV061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-3%20Series-FrontSide_BM3CPE061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,BMW,5 Series,"['Sedan', 'Wagon']","{'Sedan': {'525i Sedan 4D': {'Horsepower': '215 @ 6250 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '525xi Sedan 4D': {'Horsepower': '215 @ 6250 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '530i Sedan 4D': {'Horsepower': '255 @ 6600 rpm HP', 'Engine': '6-Cyl, HO, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '530xi Sedan 4D': {'Horsepower': '255 @ 6600 rpm HP', 'Engine': '6-Cyl, HO, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '550i Sedan 4D': {'Horsepower': '360 @ 6300 rpm HP', 'Engine': 'V8, 4.8 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'530xi Wagon 4D': {'Horsepower': '255 @ 6600 rpm HP', 'Engine': '6-Cyl, HO, 3.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-5%20Series-FrontSide_BM5SED061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-5%20Series-FrontSide_BM5WAG061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,BMW,6 Series,"['Coupe', 'Convertible']","{'Convertible': {'650i Convertible 2D': {'Horsepower': '360 @ 6300 rpm HP', 'Engine': 'V8, 4.8 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'650i Coupe 2D': {'Horsepower': '360 @ 6300 rpm HP', 'Engine': 'V8, 4.8 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-6%20Series-Front_BM650CNV064_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-6%20Series-FrontSide_BM650CPE061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,BMW,7 Series,['Sedan'],"{'Sedan': {'760i Sedan 4D': {'Horsepower': '438 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}, '750i Sedan 4D': {'Horsepower': '360 @ 6300 rpm HP', 'Engine': 'V8, 4.8 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, '760Li Sedan 4D': {'Horsepower': '438 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}, '750Li Sedan 4D': {'Horsepower': '360 @ 6300 rpm HP', 'Engine': 'V8, 4.8 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-7%20Series-FrontSide_BM750LI061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
