year,make,model,body_styles,trims,image_sources
2018,Acura,ILX,['Sedan'],"{'Sedan': {'Technology Plus & A-SPEC Pkgs Sedan 4D': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}, 'Special Edition Sedan 4D': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}, 'AcuraWatch Plus Pkg Sedan 4D': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}, 'Technology Plus Pkg Sedan 4D': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}, 'Premium Pkg Sedan 4D': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}, 'Premium & A-SPEC Pkgs Sedan 4D': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}, 'Sedan 4D': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '29 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11219/2018-Acura-ILX-360SpinFrame_11219_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,MDX,['SUV'],"{'SUV': {'SH-AWD w/Advance & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}, 'Base w/Technology & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'SH-AWD w/Technology Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}, 'SH-AWD': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}, 'Base w/Advance & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'Base w/Technology Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'Base Style': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'Base w/Advance Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'SH-AWD w/Advance Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}, 'SH-AWD w/Technology & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12361/2018-Acura-MDX-360SpinFrame_12361_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,MDX Sport Hybrid,['SUV'],"{'SUV': {'SH-AWD w/Advance Pkg': {'Horsepower': '257 @ 6300 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 6'}, 'SH-AWD w/Technology Pkg': {'Horsepower': '257 @ 6300 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12992/2018-Acura-MDX%20Sport%20Hybrid-360SpinFrame_12992_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,NSX,['Coupe'],"{'Coupe': {'Coupe 2D': {'Horsepower': '500 @ 6500 rpm HP', 'Engine': 'V6, Hybrid, Twin Turbo, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11810/2018-Acura-NSX-360SpinFrame_11810_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,RDX,['SUV'],"{'SUV': {'Base Style': {'Horsepower': '279 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'Base w/Advance Pkg': {'Horsepower': '279 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'Base w/AcuraWatch Plus Pkg': {'Horsepower': '279 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'Base w/Technology Pkg': {'Horsepower': '279 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'Base w/Technology & AcuraWatch Plus Pkg': {'Horsepower': '279 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Acura-RDX-FrontSide_ATRDX1801_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2018,Acura,RLX,['Sedan'],"{'Sedan': {'Base Style': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12480/2018-Acura-RLX-360SpinFrame_12480_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,RLX Sport Hybrid,['Sedan'],"{'Sedan': {'SH-AWD': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12568/2018-Acura-RLX%20Sport%20Hybrid-360SpinFrame_12568_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Acura,TLX,['Sedan'],"{'Sedan': {'3.5 w/Advance Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, '2.4 w/Technology Pkg': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, '3.5 w/Technology Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, '3.5': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, '3.5 w/Technology Pkg & A-SPEC Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, '2.4': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Acura-TLX-FrontSide_ACTLX1801_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2018,Alfa Romeo,4C,['Coupe'],"{'Coupe': {'Base Style': {'Horsepower': '237 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 1.7 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11130/2018-Alfa%20Romeo-4C-360SpinFrame_11130_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Alfa Romeo,4C Spider,['Convertible'],"{'Convertible': {'Base Style': {'Horsepower': '237 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 1.7 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 2'}}}",{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Alfa%20Romeo-4C%20Spider-FrontSide_AL4CS1801_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2018,Alfa Romeo,Giulia,['Sedan'],"{'Sedan': {'Quadrifoglio': {'Horsepower': '505 @ 6500 rpm HP', 'Engine': 'V6, Twin Turbo, 2.9 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, 'Ti': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, 'Ti Sport': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, 'Ti Lusso': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, 'Base Style': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, 'Sport': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12453/2018-Alfa%20Romeo-Giulia-360SpinFrame_12453_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Alfa Romeo,Stelvio,['SUV'],NULL,{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12164/2018-Alfa%20Romeo-Stelvio-360SpinFrame_12164_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2018,Aston Martin,DB11,['Coupe'],"{'Coupe': {'V8': {'Horsepower': '502 @ 6000 rpm HP', 'Engine': 'V8, Twin Turbo, 4.0 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}, 'V12': {'Horsepower': '600 @ 6500 rpm HP', 'Engine': 'V12, Twin Turbo, 5.2 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 4'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Aston%20Martin-DB11-FrontSide_ARDB111801_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2018,Aston Martin,Vanquish S,"['Convertible', 'Coupe']","{'Convertible': {'Volante': {'Horsepower': '568 @ 6650 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Base Style': {'Horsepower': '568 @ 6650 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Aston%20Martin-Vanquish%20S-FrontSide_ARVANQSC1801_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2018/2018-Aston%20Martin-Vanquish%20S-FrontSide_ARVANQS1801_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
