year,make,model,body_style(s),image_source(s)
1997,Acura,CL,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Acura-CL-FrontSide_ACCL22971_506x373.jpg?interpolation=high-quality&downsize=391:*'}
1997,Acura,Integra,"['Coupe', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Acura-Integra-FrontSide_ACINTLSSED971_506x373.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Acura-Integra-FrontSide_ACINTLSCPE972_506x352.jpg?interpolation=high-quality&downsize=391:*'}"
1997,Acura,NSX,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Acura-NSX-FrontSide_ACNSXT971_506x370.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Acura-NSX-RearSide_ACNSX972_506x374.jpg?interpolation=high-quality&downsize=391:*'}"
1997,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Acura-RL-RearSide_ACRL-972_506x354.jpg?interpolation=high-quality&downsize=391:*'}
1997,Acura,SLX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Acura-SLX-FrontSide_ATSLX971_506x374.jpg?interpolation=high-quality&downsize=391:*'}
1997,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Acura-TL-RearSide_ACTL25971_506x325.jpg?interpolation=high-quality&downsize=391:*'}
1997,Audi,A4,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Audi-A4-FrontSide_AUA4-973_506x371.jpg?interpolation=high-quality&downsize=391:*'}
1997,Audi,A6,"['Wagon', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Audi-A6-FrontSide_AUA6-971_506x367.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Audi-A6-FrontSide_AUA6WAG972_506x374.jpg?interpolation=high-quality&downsize=391:*'}"
1997,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Audi-A8-FrontSide_AUA8-971_506x373.jpg?interpolation=high-quality&downsize=391:*'}
1997,Audi,Cabriolet,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1997/1997-Audi-Cabriolet-FrontSide_AUCAB971_506x374.jpg?interpolation=high-quality&downsize=391:*'}
