year,make,model,body_style(s),image_source(s)
2004,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12361/2020-Acura-MDX-360SpinFrame_12361_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2004,Acura,NSX,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Acura-NSX-FrontSide_ACNSX041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2004,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Acura-RL-FrontSide_ACRL-041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2004,Acura,RSX,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Acura-RSX-FrontSide_ACRSX041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2004,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Acura-TL-FrontSide_ACTL-041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2004,Acura,TSX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Acura-TSX-FrontSide_ACTSX041_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2004,Audi,A4,"['Convertible', 'Wagon', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Audi-A4-FrontSide_AUA4SED042_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Audi-A4-FrontSide_AUA4WAG042_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Audi-A4-FrontSide_AUA4CAB042_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2004,Audi,A6,"['Wagon', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Audi-A6-FrontSide_AUA6SED042_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Audi-A6-FrontSide_AUA6WAG042_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2004,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Audi-A8-FrontSide_AUA8L042_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2004,Audi,allroad,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2004/2004-Audi-allroad-FrontSide_AUALL042_505x375.jpg?interpolation=high-quality&downsize=391:*'}
