year,make,model,body_style(s),image_source(s)
2017,Acura,ILX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/10421/2017-Acura-ILX-front-angle3_10421_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11319/2017-Acura-MDX-360SpinFrame_11319_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,Acura,MDX Sport Hybrid,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Acura-MDX%20Sport%20Hybrid-FrontSide_ATMDXSH1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,NSX,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Acura-NSX-FrontSide_ACNSX1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/11340/2017-Acura-RDX-front-angle3_11340_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,RLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Acura-RLX-FrontSide_ACRLX1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Acura,RLX Sport Hybrid,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11150/2017-Acura-RLX%20Sport%20Hybrid-360SpinFrame_11150_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,Acura,TLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11411/2017-Acura-TLX-360SpinFrame_11411_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,Alfa Romeo,4C,['Coupe'],{'Coupe': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png'}
2017,Alfa Romeo,Giulia,['Sedan'],{'Sedan': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png'}
2017,Aston Martin,DB11,['Coupe'],{'Coupe': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png'}
2017,Aston Martin,Rapide S,['Sedan'],{'Sedan': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png'}
2017,Aston Martin,Vanquish,"['Coupe', 'Convertible']","{'Convertible': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png', 'Coupe': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png'}"
2017,Aston Martin,Vantage,"['Convertible', 'Coupe']","{'Convertible': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png', 'Coupe': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png'}"
2017,Audi,A3,"['Sedan', 'Convertible']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-A3-FrontSide_AUA3S1701_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-A3-FrontSide_AUA3R1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2017,Audi,A3 Sportback e-tron,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-A3%20Sportback%20e-tron-FrontSide_AUA3ET1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,A4,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-A4-FrontSide_AUA4SED1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,A4 allroad,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-A4%20allroad-FrontSide_AUA4ALL1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,A5 Sport,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-A5%20Sport-FrontSide_AUA5SPCV1701_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11563/2017-Audi-A5%20Sport-360SpinFrame_11563_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
2017,Audi,A6,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-A6-FrontSide_AUA61701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,A7,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-A7-FrontSide_AUA71701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-A8-FrontSide_AUA81701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,Q3,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-Q3-FrontSide_AQQ31701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,Q5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-Q5-FrontSide_AQQ51701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,Q7,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-Q7-FrontSide_AQQ71701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,R8,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-R8-FrontSide_AUR8SPY1701_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11474/2017-Audi-R8-360SpinFrame_11474_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
2017,Audi,RS 3,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-RS%203-FrontSide_AURS31701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,RS 7,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-RS%207-FrontSide_AURS71701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,S3,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-S3-FrontSide_AUS31701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,S5,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-S5-FrontSide_AUS5CAB1701_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11361/2017-Audi-S5-360SpinFrame_11361_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
2017,Audi,S6,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11708/2017-Audi-S6-360SpinFrame_11708_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,Audi,S7,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11695/2017-Audi-S7-360SpinFrame_11695_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,Audi,S8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/11233/2017-Audi-S8-front-angle3_11233_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,SQ5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Audi-SQ5-FrontSide_AUSQ51701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Audi,TT,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/10991/2017-Audi-TT-360SpinFrame_10991_032_2400x1800.png?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/10579/2017-Audi-TT-front-angle3_10579_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2017,Bentley,Bentayga,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Bentley-Bentayga-FrontSide_BYBEN1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Bentley,Continental,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Bentley-Continental-FrontSide_BYCGTV8C1701_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Bentley-Continental-FrontSide_BYCGTV81701_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2017,Bentley,Flying Spur,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Bentley-Flying%20Spur-FrontSide_BYFS1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,Bentley,Mulsanne,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Bentley-Mulsanne-FrontSide_BYMUL1701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,BMW,2 Series,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/10985/2017-BMW-2%20Series-front-angle3_10985_089_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11593/2017-BMW-2%20Series-360SpinFrame_11593_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
2017,BMW,3 Series,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-BMW-3%20Series-FrontSide_BM3SED1701_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11644/2017-BMW-3%20Series-360SpinFrame_11644_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
2017,BMW,4 Series,"['Sedan', 'Coupe', 'Convertible']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/10613/2017-BMW-4%20Series-360SpinFrame_10613_032_2400x1800.png?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11419/2017-BMW-4%20Series-360SpinFrame_11419_032_2400x1800.png?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-BMW-4%20Series-FrontSide_BM41701_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2017,BMW,5 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11762/2017-BMW-5%20Series-360SpinFrame_11762_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,BMW,6 Series,"['Coupe', 'Sedan', 'Convertible']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/10500/2017-BMW-6%20Series-360SpinFrame_10500_032_2400x1800.png?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/10607/2017-BMW-6%20Series-front-angle3_10607_089_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/10807/2017-BMW-6%20Series-front-angle3_10807_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2017,BMW,7 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-BMW-7%20Series-FrontSide_BM71701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,BMW,i3,['Hatchback'],{'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11083/2017-BMW-i3-360SpinFrame_11083_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,BMW,i8,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-BMW-i8-FrontSide_BMI81701_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,BMW,M2,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/11811/2017-BMW-M2-front-angle3_11811_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2017,BMW,M3,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11983/2017-BMW-M3-360SpinFrame_11983_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2017,BMW,M4,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/11847/2017-BMW-M4-front-angle3_11847_089_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-BMW-M4-FrontSide_BMM41701_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
