year,make,model,body_style(s),image_source(s)
2009,Bentley,Azure,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Bentley-Azure-FrontSide_BYAZU091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Bentley,Brooklands,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Bentley-Brooklands-FrontSide_BYBR091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Bentley,Continental,"['Coupe', 'Sedan', 'Convertible']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Bentley-Continental-FrontSide_BYCOFS091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Bentley-Continental-FrontSide_BYCOGTC091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Bentley-Continental-FrontSide_BYCOGT091_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2009,BMW,1 Series,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-1%20Series-FrontSide_BM128R091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-1%20Series-Side_BM128C093_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2009,BMW,3 Series,"['Sedan', 'Convertible', 'Coupe', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-3%20Series-FrontSide_BM335S091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-3%20Series-FrontSide_BM328W091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/5705/2009-BMW-3%20Series-front-angle3_5705_089_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-3%20Series-FrontSide_BM328C091_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2009,BMW,5 Series,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-5%20Series-FrontSide_BM5S091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-5%20Series-FrontSide_BM5W091_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2009,BMW,6 Series,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-6%20Series-FrontSide_BM650R091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/5782/2009-BMW-6%20Series-front-angle3_5782_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2009,BMW,7 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/6021/2009-BMW-7%20Series-front-angle3_6021_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2009,BMW,M3,"['Coupe', 'Sedan', 'Convertible']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-M3-FrontSide_BMM3S091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-M3-FrontSide_BMM3R091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-M3-FrontSide_BMM3C091_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2009,BMW,M5,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-M5-FrontSide_BMM5091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,BMW,M6,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-M6-FrontSide_BMM6R091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-M6-FrontSide_BMM6C091_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2009,BMW,X3,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-X3-FrontSide_BTX3091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,BMW,X5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-X5-FrontSide_BTX5091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,BMW,X6,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-X6-FrontSide_BTX6091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,BMW,Z4,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-BMW-Z4-FrontSide_BMZ4091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Buick,Enclave,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Buick-Enclave-FrontSide_BSENC091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Buick,LaCrosse,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Buick-LaCrosse-FrontSide_BULC091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Buick,Lucerne,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Buick-Lucerne-FrontSide_BULUCXLS091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Cadillac,CTS,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/5492/2009-Cadillac-CTS-front-angle3_5492_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2009,Cadillac,DTS,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Cadillac-DTS-FrontSide_CADTS091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
