year,make,model,body_style(s),image_source(s)
2011,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Acura-MDX-FrontSide_ATMDX111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Acura-RDX-FrontSide_ATRDX111_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2011,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Acura-RL-FrontSide_ACRL111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Acura-TL-FrontSide_ACTL111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Acura,TSX,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Acura-TSX-FrontSide_ACTSX111_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Acura-TSX-FrontSide_ACTSXW111_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2011,Acura,ZDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Acura-ZDX-FrontSide_ATZDX111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Aston Martin,DB9,"['Convertible', 'Coupe']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Aston%20Martin-DB9-FrontSide_ARDB9R111_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/7438/2011-Aston%20Martin-DB9-front-angle3_7438_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2011,Aston Martin,DBS,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Aston%20Martin-DBS-FrontSide_ARDBSR111_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Aston%20Martin-DBS-FrontSide_ARDBS111_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2011,Aston Martin,Rapide,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Aston%20Martin-Rapide-FrontSide_ARRAPP111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Aston Martin,Vantage,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Aston%20Martin-Vantage-RearSide_ARVANR112_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Aston%20Martin-Vantage-FrontSide_ARVAN111_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2011,Audi,A3,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-A3-FrontSide_AUA3111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Audi,A4,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-A4-Front_AUA4SED114_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-A4-FrontSide_AUA4WAG111_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2011,Audi,A5,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-A5-FrontSide_AUA5R111_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-A5-FrontSide_AUA5111_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2011,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-A6-FrontSide_AUA6111_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-A6-FrontSide_AUA6W111_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2011,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-A8-FrontSide_AUA8111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Audi,Q5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/6860/2011-Audi-Q5-front-angle3_6860_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Audi,Q7,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-Q7-FrontSide_AQQ7111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Audi,R8,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-R8-FrontSide_AUR8R111_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-R8-FrontSide_AUR8111_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2011,Audi,S4,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-S4-FrontSide_AUS4111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Audi,S5,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/7188/2011-Audi-S5-front-angle3_7188_089_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-S5-Front_AUS5114_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2011,Audi,S6,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-S6-FrontSide_AUS6111_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2011,Audi,TT,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-TT-FrontSide_AUTTR111_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2011/2011-Audi-TT-FrontSide_AUTT101_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
