year,make,model,body_style(s),image_source(s)
1998,Acura,CL,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Acura-CL-FrontSide_ACCL23981_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1998,Acura,Integra,"['Hatchback', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Acura-Integra-RearSide_ACINTLSSED982_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Acura-Integra-RearSide_ACINTLSCPE981_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1998,Acura,NSX,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Acura-NSX-RearSide_ACNSXT991_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Acura-NSX-FrontSide_ACNSX981_505x358.jpg?interpolation=high-quality&downsize=391:*'}"
1998,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Acura-RL-FrontSide_ACRL-981_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1998,Acura,SLX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Acura-SLX-FrontSide_ATSLX981_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1998,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Acura-TL-RearSide_ACTL25981_496x325.jpg?interpolation=high-quality&downsize=391:*'}
1998,Audi,A4,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Audi-A4-FrontSide_AUA4SED981_505x371.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Audi-A4-FrontSide_AUA4WAG982_503x371.jpg?interpolation=high-quality&downsize=391:*'}"
1998,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Audi-A6-FrontSide_AUA6SED981_505x373.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Audi-A6-FrontSide_AUA6WAG983_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1998,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Audi-A8-FrontSide_AUA8-981_506x375.jpg?interpolation=high-quality&downsize=391:*'}
1998,Audi,Cabriolet,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Audi-Cabriolet-RearSide_AUCAB982_506x375.jpg?interpolation=high-quality&downsize=391:*'}
1998,BMW,3 Series,"['Coupe', 'Hatchback', 'Convertible', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-3%20Series-FrontSide_BM318SED984_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-3%20Series-RearSide_BM323CONV981_504x350.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-3%20Series-RearSide_BM318TI981_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-3%20Series-FrontSide_BM323CPE982_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1998,BMW,5 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-5%20Series-FrontSide_BM528981_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1998,BMW,7 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-7%20Series-RearSide_BM740IL982_505x356.jpg?interpolation=high-quality&downsize=391:*'}
1998,BMW,M3,"['Convertible', 'Sedan', 'Coupe']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-M3-FrontSide_BMM3SED983_505x333.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-M3-RearSide_BMM33CON982_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-M3-FrontSide_BMM3CPE981_503x375.jpg?interpolation=high-quality&downsize=391:*'}"
1998,BMW,Z3,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-BMW-Z3-FrontSide_BMZ36984_505x369.jpg?interpolation=high-quality&downsize=391:*'}
1998,Buick,Century,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Buick-Century-FrontSide_BUCENLTD982_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1998,Buick,LeSabre,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Buick-LeSabre-FrontSide_BULES981_503x375.jpg?interpolation=high-quality&downsize=391:*'}
1998,Buick,Park Avenue,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Buick-Park%20Avenue-FrontSide_BUPRK981_505x357.jpg?interpolation=high-quality&downsize=391:*'}
1998,Buick,Regal,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Buick-Regal-FrontSide_BUREG981_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1998,Buick,Riviera,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1998/1998-Buick-Riviera-FrontSide_BURIV981_505x345.jpg?interpolation=high-quality&downsize=391:*'}
